,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
College Business Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summer 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hispanic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown/Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,,M,,Tot,,F,M,Tot,F,,M,Tot,F,M,,Tot,F,,M,Tot,F,M,Tot,F,M,,Tot,,,,
,1,,4,,5,,,,,1,,1,,,,,,,,,,,,2,4,,,,6,,
,1,,3,,4,,,,,1,,1,,,,,,,,,,,,2,3,,,,5,,
,,,1,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,
,1,,4,,5,,,,,1,,1,,,,,,,,,,,,2,4,,,,6,,
,1,,4,,5,,,,,1,,1,,,,,,,,,,,,2,4,,,,6,,
Headcount Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAMU Age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Categories Classification Tuition Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residency Status SCH Categories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ft/Pt:  TAMU Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Top 10% Texas High School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First Generation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dorm / Off-campus students,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Freshman Sophomore Resident Tuition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Resident Tuition Tuition Exemption/Waiver Texas Resident,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Non-TX, US Resident",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
< 6 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-8 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-11 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Less Than Half Time Half-Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full-Time No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Off-campus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dorm (On-campus),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,,5,,,,1,,,,1,,,,,,,2,,,,,,4,,6,,,,,
,1,,1,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,
1,3,,4,,,,1,,,,1,,,,,,,2,,,,,,3,,5,,,,,
,1,,1,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,
1,2,,3,,,,,,,,,,,,,,,1,,,,,,2,,3,,,,,
1,2,,3,,,,,,,,,,,,,,,1,,,,,,2,,3,,,,,
,2,,2,,,,1,,,,1,,,,,,,1,,,,,,2,,3,,,,,
1,4,,5,,,,1,,,,1,,,,,,,2,,,,,,4,,6,,,,,
1,4,,5,,,,1,,,,1,,,,,,,2,,,,,,4,,6,,,,,
"Prepared by OISP, 05 Aug 10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
