"Summer 2010
Head Count              Total
Gender                      Female Male
Ethnicity                   White Black Hispanic Asian
American Indian International Unknown/Other
TAMU Age              <18
Categories                18-21
22-25
26-30
31-39
40+
College                     Agriculture Architecture Business Admin Education Engineering Geosciences Liberal Arts Science
Veterinary Medicine General Studies
Other - Special Populations
Enrollment                1st Time in College
Status                        1st Time Transfer Readmitted Continuing
Tuition Status           Resident Tuition
Non-Resident Tuition Tuition Exemption/Waiver
Residency                 Texas Resident
Status                        Non-TX, US Resident
Non-TX, Non-US Resident SCH Categories       < 6 SCH
6-8 SCH
9-11 SCH
12-14 SCH
15-17 SCH
>17 SCH
Ft/Pt:  TAMU           Less Than Half Time Status                        Half-Time
Full-Time
Top 10% Texas        No
High School             Yes First Generation       No
Unknown Yes","U0: UG
Non-Degree
19
6
13
10
1
3
5
9
6
2
2
1
7
4
6
1
19
18
1
18
1
11
5
3
5
10
4
18
1
9
7
3","U1:
Freshmen
692
321
371
372
71
182
30
5
16
16
682
10
15
12
26
20
93
1
23
22
20
460
383
5
1
303
635
35
22
641
34
17
128
500
50
14
71
501
87
565
127
429
32
231","U2:
Sophomore
1,402
607
795
926
101
235
77
8
32
23
1
1,314
60
17
6
4
199
67
81
85
228
15
199
58
69
396
5
5
89
10
1,298
1,261
61
80
1,284
81
37
556
584
177
84
1
377
667
348
977
425
902
104
396","U3:
Junior
3,483
1,731
1,752
2,599
126
460
180
15
65
38
2,684
718
54
16
11
632
121
537
362
671
61
678
177
95
144
5
63
36
3,384
3,273
107
103
3,311
104
68
1,234
1,455
523
260
9
2
848
1,662
951
2,271
1,212
2,435
185
863","U4:
Senior
6,397
3,041
3,356
4,799
189
903
311
37
132
26
2,030
4,040
240
68
19
1,207
241
833
952
1,388
144
1,113
299
214
1
5
8
65
6,324
5,963
165
269
6,059
202
136
2,416
2,451
875
615
34
6
1,619
2,897
1,850
4,323
2,074
4,466
249
1,682","U5: Undergraduate PB
77
43
34
59
2
7
7
2
3
55
12
5
2
19
3
4
8
15
5
15
8
4
6
67
70
2
5
72
3
2
50
19
5
3
23
33
21
56
21
57
3
17","Grand Total
12,070
5,749
6,321
8,765
490
1,790
605
65
247
108
1
6,722
4,889
325
97
36
2,073
444
1,481
1,427
2,402
226
2,032
570
398
1,002
15
388
169
118
11,395
11,220
370
480
11,385
425
260
4,395
5,014
1,633
976
44
8
2,943
5,770
3,261
8,210
3,860
8,298
580
3,192",
"Prepared by OISP, 05 Aug 10",,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
