Summer 2010,,Undergraduate,,,,Masters,,,,PhD,,Professiona l,Total,
,,1st Time in College,1st Time Transfer,Readmitte d,Continuing,1st Time PB,1st Time Graduate,Readmitte d,Continuing,1st Time Graduate,Continuing,Continuing,,
Geosciences,ATMO,1,1,1,29,1,1,1,22,1,15,,38,
,ENGS,,,,,,,,,,,,30,
,ENST,,,,28,,,,,,,,29,
,GEOG,,2,,44,,,,8,1,10,,65,
,GEOL,,1,,80,,,,11,1,14,,108,
,GEOP,,,,14,,,,7,1,7,,29,
,GEOS,,,,,,,,2,,,,2,
,MARB,,,,,,,,1,,,,1,
,METR,,,,24,,,,,,,,24,
,OCNG,,,,,,,,25,4,33,,62,
,SPSG,,,,1,,,,,,,,1,
,USGE,,,,1,,,,,,,,1,
,WMHS,,,,,,1,,9,,4,,14,
,Subtotal,,4,1,221,,2,,85,8,83,,404,
Liberal Arts,AMST,,,,3,,,,,,,,3,
,ANTH,,1,1,51,,,,4,3,6,,67,
,BIOL,,,,1,,,,,,,,1,
,CLSS,,,,1,,,,,,,,1,
,COMM,2,4,1,224,,,,9,1,21,,262,
,ECON,3,6,5,168,,,,17,2,21,,222,
,ENGL,,3,4,199,,,,7,1,35,,250,
,FREN,,,,5,,,,,,,,5,
,GERM,,,,1,,,,,,,,1,
,HISP,,,,,,,,4,,6,,10,
,HIST,,2,7,230,,1,,8,,6,,255,
,INTS,,1,2,209,,,,,,,,212,
,MODL,,,,,,,,6,,,,6,
,MUSC,1,,,10,,,,,,,,11,
,NUTR,,,,,,,,1,,,,1,
,PHIL,,,,29,,,,3,,4,,36,
,POLS,,1,4,228,,5,,15,,27,,280,
,PSYC,,7,6,381,,,,20,2,49,,465,
,RUSS,,,,3,,,,,,,,3,
,SOCI,,1,3,135,,,,11,,29,,179,
,SPAN,,,1,37,,,,,,,,38,
,TCMS,,,,32,,,,,,,,32,
,THAR,,,,12,,,,,,,,12,
,USLA,,,,1,,,,,,,,1,
,WGST,,,1,4,,,,,,,,5,
,Subtotal,7,26,35,"1,964",1,6,1,105,9,204,,"2,358",
"Prepared by OISP, 05 Aug 10",,,,,,,,,,,,,,
