Asian Only (NEW),,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity (College Station Campus),,,,,,,,,,,,,,,
Fall 2011,,,,,,,,,,,,,,,
Fall 2011,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
Science                             APHY,,,,,,,,,,,,,,,
APMS,2,4,3,4,,13,,,,,,,,13,
BIOL,52,34,35,50,1,172,,2,2,2,2,,,176,
BMCB,4,3,2,3,,12,,,,,,,,12,
BOTN,,,,,,,,,,,,,,,
CHEM,14,6,4,6,,30,,7,7,2,2,,,39,
GENE,,,,,,,,,,,,,,,
MATH,6,,1,3,,10,1,1,2,2,2,,,14,
MBIO,,6,1,2,,9,,,,,,,,9,
MEPS,,,,,,,,,,1,1,,,1,
MSEN,,,,,,,,,,,,,,,
PHYS,3,3,1,,,7,,1,1,3,3,,,11,
STAT,,,,,,,6,15,21,,,,,21,
USSC,,,,,,,,,,,,,,,
ZOOL,,1,,,,1,,,,,,,,1,
Subtotal,81,57,47,68,1,254,7,26,33,10,10,,,297,
Veterinary Medicine     BIMS,45,47,35,39,,166,,7,7,2,2,,,175,
BIOT,,,,,,,,1,1,,,,,1,
EPID,,,,,,,,1,1,,,,,1,
GENE,,,,,,,,1,1,,,,,1,
LAMD,,,,,,,,,,,,,,,
STJR,,,,,,,,,,,,,,,
TOXI,,,,,,,,,,,,,,,
USVM,,,,1,,1,,,,,,,,1,
VPAT,,,,,,,,,,,,,,,
VPHY,,,,,,,,,,,,,,,
VTMD,,,,,,,,,,,,16,16,16,
VTMI,,,,,,,,,,,,,,,
VTPH,,,,,,,,1,1,,,,,1,
Subtotal,45,47,35,40,,167,,11,11,2,2,16,16,196,
General Studies             GEST,130,99,7,1,,237,,,,,,,,237,
TEAM,9,9,,,,18,,,,,,,,18,
Subtotal,139,108,7,1,,255,,,,,,,,255,
