Black Only + 2 or more/1 Black (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity (College Station Campus),,,,,,,,,,,,,,,,
Fall 2011,,,,,,,,,,,,,,,,
Fall 201,1,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
Business Admin,ACCT,,,7,11,,18,,4,4,,,,,22,
,AGBU,,,,,,,,,,,,,,,
,BHNR,,,1,2,,3,,,,,,,,3,
,BUAD,26,13,6,,,45,,8,8,,,,,53,
,BUAG,,,,,,,,,,,,,,,
,EMBA,,,,,,,,7,7,,,,,7,
,FINC,,1,5,3,,9,,2,2,,,,,11,
,INFO,,,1,12,,13,,,,,,,,13,
,MGMT,,,3,8,,11,,3,3,1,1,,,15,
,MISY,,,,,,,,,,,,,,,
,MKTG,,,2,8,,10,,1,1,,,,,11,
,MLER,,,,,,,,,,,,,,,
,USBU,,,,5,,5,,,,,,,,5,
,Subtotal,26,14,25,49,,114,,25,25,1,1,,,140,
Education,BIED,,,,,,,,,,,,,,,
,CPSY,,,,,,,,2,2,5,5,,,7,
,EDAD,,,,,,,2,11,13,29,29,,,42,
,EDCI,,,,,,,,13,13,43,43,,,56,
,EDHL,3,4,9,2,,18,,,,,,,,18,
,EDIS,5,4,6,3,1,19,,,,,,,,19,
,EDKI,6,6,5,1,,18,,,,,,,,18,
,EDSM,5,2,12,,,19,,,,,,,,19,
,EDTC,,,,,,,,,,,,,,,
,EHRD,,,,,,,,5,5,18,18,,,23,
,EPSY,,,,,,,,2,2,4,4,,,6,
,HEED,,,,,,,,1,1,5,5,,,6,
,HLTH,,,,7,,7,,,,,,,,7,
,HRDL,,1,5,5,,11,,,,,,,,11,
,HRDV,,,1,2,,3,,,,,,,,3,
,INST,,,2,8,,10,,,,,,,,10,
,KINE,,,,5,,5,,5,5,4,4,,,14,
,NUTR,,,,,,,,,,,,,,,
,PHED,,,,,,,,,,,,,,,
,SPED,,,,,,,,2,2,,,,,2,
,SPMT,,,4,6,,10,,6,6,,,,,16,
,SPSY,,,,,,,,,,5,5,,,5,
,TCMG,,,,,,,,,,,,,,,
