Black Only + 2 or more/1 Black (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity (College Station Campus),,,,,,,,,,,,,,,,
Fall 2011,,,,,,,,,,,,,,,,
Fall 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
Education,TCML,1,,,2,,3,,,,,,,,3,
,TECR,,,,,,,,,,,,,,,
,USEH,,,,,,,,,,,,,,,
,Subtotal,20,17,44,41,1,123,2,47,49,113,113,,,285,
Engineering,AERL,5,,,,,5,,,,,,,,5,
,AERO,,,1,4,,5,,,,1,1,,,6,
,BIOT,,,,,,,,,,,,,,,
,BMEL,2,3,,1,,6,,,,,,,,6,
,BMEN,,2,1,3,,6,,2,2,1,1,,,9,
,CECL,3,4,,1,,8,,,,,,,,8,
,CECN,,2,2,4,,8,,,,1,1,,,9,
,CEEL,3,1,1,,,5,,,,,,,,5,
,CEEN,,,2,,,2,,1,1,,,,,3,
,CHEL,2,2,,,,4,,,,,,,,4,
,CHEN,,3,2,13,,18,,2,2,1,1,,,21,
,CPSC,,,3,5,,8,,2,2,3,3,,,13,
,CPSL,6,2,3,2,,13,,,,,,,,13,
,CVEL,4,1,,,,5,,,,,,,,5,
,CVEN,,3,3,14,,20,,2,2,,,,,22,
,ELEL,6,2,,,,8,,,,,,,,8,
,ELEN,,1,1,9,,11,,5,5,3,3,,,19,
,ENGR,,,,,,,,,,1,1,,,1,
,ENSM,,,,,,,,1,1,,,,,1,
,ENTC,,,3,6,,9,,,,,,,,9,
,ENTL,1,3,2,2,,8,,,,,,,,8,
,HLPH,,,,,,,,,,,,,,,
,IDIL,1,1,2,,,4,,,,,,,,4,
,IDIS,,,3,9,,12,,,,,,,,12,
,INEL,2,5,1,,,8,,,,,,,,8,
,INEN,,1,4,16,,21,,3,3,3,3,,,27,
,ITDE,,,,,,,,,,,,,,,
,MEEL,6,,1,,,7,,,,,,,,7,
,MEEN,,4,1,9,,14,1,2,3,5,5,,,22,
,MSEN,,,,,,,,,,1,1,,,1,
,NUEL,,1,,,,1,,,,,,,,1,
,NUEN,,,2,2,,4,,2,2,,,,,6,
,OCEL,,,,,,,,,,,,,,,
