Black Only + 2 or more/1 Black (NEW),,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity (College Station Campus),,,,,,,,,,,,,,,
Fall 2011,,,,,,,,,,,,,,,
Fall 2011,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
"Other - Special                      MARB
Populations                           MARM MAST MDSC PHLT REEP
Subtotal
University                              Total",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,2,,2,,,,,2,
,,,,,,,,,,,,,,,
,,,,,,,2,,2,,,,,2,
,350,263,301,410,4,"1,328",20,149,169,215,215,5,5,"1,717",
"Prepared by DARS, 09 Jan 12",,,,,,,,,,,,,,,
