Hispanic or Latino of any Race (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity (College Station Campus),,,,,,,,,,,,,,,,
Fall 2011,,,,,,,,,,,,,,,,
Fall 201,1,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
Business Admin,ACCT,,,37,37,,74,,4,4,,,,,78,
,AGBU,,,,,,,,,,,,,,,
,BHNR,,,5,4,,9,,,,,,,,9,
,BUAD,100,83,33,1,,217,,4,4,,,,,221,
,BUAG,,,,,,,,,,,,,,,
,EMBA,,,,,,,,16,16,,,,,16,
,FINC,,1,21,33,,55,,6,6,1,1,,,62,
,INFO,,2,23,40,,65,,,,,,,,65,
,MGMT,,1,10,15,,26,,3,3,,,,,29,
,MISY,,,,,,,,4,4,,,,,4,
,MKTG,,,11,31,,42,,5,5,,,,,47,
,MLER,,,,,,,,5,5,,,,,5,
,USBU,,,9,5,,14,,,,,,,,14,
,Subtotal,100,87,149,166,,502,,47,47,1,1,,,550,
Education,BIED,,,,,,,,10,10,,,,,10,
,CPSY,,,,,,,,2,2,12,12,,,14,
,EDAD,,,,,,,,12,12,39,39,,,51,
,EDCI,,,,,,,,20,20,17,17,,,37,
,EDHL,17,21,40,11,,89,,,,,,,,89,
,EDIS,32,32,35,7,,106,,,,,,,,106,
,EDKI,38,22,35,15,,110,,,,,,,,110,
,EDSM,9,7,11,3,,30,,,,,,,,30,
,EDTC,,,,,,,,3,3,,,,,3,
,EHRD,,,,,,,,13,13,13,13,,,26,
,EPSY,,,,,,,,5,5,17,17,,,22,
,HEED,,,,,,,,9,9,3,3,,,12,
,HLTH,,,1,23,1,25,,,,,,,,25,
,HRDL,3,2,13,8,,26,,,,,,,,26,
,HRDV,,,,13,,13,,,,,,,,13,
,INST,1,2,18,75,,96,,,,,,,,96,
,KINE,,,2,35,,37,,6,6,4,4,,,47,
,NUTR,,,,,,,,,,,,,,,
,PHED,,,,,,,,,,,,,,,
,SPED,,,,,,,,2,2,,,,,2,
,SPMT,,,3,15,,18,,7,7,,,,,25,
,SPSY,,,,,,,,,,8,8,,,8,
,TCMG,,,,10,,10,,,,,,,,10,
