Hispanic or Latino of any Race (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity (College Station Campus),,,,,,,,,,,,,,,,
Fall 2011,,,,,,,,,,,,,,,,
Fall 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
Education,TCML,3,2,4,10,,19,,,,,,,,19,
,TECR,,,,,1,1,,,,,,,,1,
,USEH,,,,,,,,,,,,,,,
,Subtotal,103,88,162,225,2,580,,89,89,113,113,,,782,
Engineering,AERL,39,18,6,1,,64,,,,,,,,64,
,AERO,,4,10,37,1,52,,2,2,4,4,,,58,
,BIOT,,,,,,,,2,2,,,,,2,
,BMEL,18,15,3,,,36,,,,,,,,36,
,BMEN,,4,10,20,,34,,4,4,4,4,,,42,
,CECL,22,9,10,4,,45,,,,,,,,45,
,CECN,,,3,10,,13,1,2,3,,,,,16,
,CEEL,17,7,5,,,29,,,,,,,,29,
,CEEN,,2,2,5,1,10,,,,,,,,10,
,CHEL,23,5,6,3,,37,,,,,,,,37,
,CHEN,,6,20,34,,60,,,,5,5,,,65,
,CPSC,,4,5,21,,30,,6,6,2,2,,,38,
,CPSL,20,12,3,3,,38,,,,,,,,38,
,CVEL,34,23,3,,,60,,,,,,,,60,
,CVEN,,18,27,61,,106,,20,20,,,,,126,
,ELEL,31,23,14,2,,70,,,,,,,,70,
,ELEN,,8,21,41,1,71,,8,8,10,10,,,89,
,ENGR,,,,,,,,,,1,1,,,1,
,ENSM,,,,,,,,1,1,,,,,1,
,ENTC,,,4,36,,40,,,,,,,,40,
,ENTL,5,13,9,4,,31,,,,,,,,31,
,HLPH,,,,,,,,1,1,,,,,1,
,IDIL,1,5,12,2,,20,,,,,,,,20,
,IDIS,,4,15,31,,50,,5,5,,,,,55,
,INEL,14,7,10,2,1,34,,,,,,,,34,
,INEN,,7,12,76,,95,,10,10,2,2,,,107,
,ITDE,,,,,,,,,,,,,,,
,MEEL,40,19,4,1,1,65,,,,,,,,65,
,MEEN,1,14,25,55,1,96,,17,17,6,6,,,119,
,MSEN,,,,,,,,,,,,,,,
,NUEL,8,4,1,,,13,,,,,,,,13,
,NUEN,1,5,5,11,,22,,6,6,2,2,,,30,
,OCEL,4,2,,,,6,,,,,,,,6,
