Native Hawaii Only (New),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity (College Station Campus),,,,,,,,,,,,,,,,
Fall 2011,,,,,,,,,,,,,,,,
Fall 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
Agriculture,POSC,,,,,,,,,,,,,,,
,PPRO,,,,,,,,,,,,,,,
,PREP,,,,,,,,,,1,1,,,1,
,PSSC,,,,,,,,,,,,,,,
,RENR,,,,,,,,,,,,,,,
,RLEM,,,,,,,,,,,,,,,
,RPTS,,,1,,,1,,,,,,,,1,
,RRDV,,,,,,,,,,,,,,,
,SOSC,,,,,,,,,,,,,,,
,SPSA,,,,,,,,,,,,,,,
,TOXI,,,,,,,,,,,,,,,
,USAL,,,,,,,,,,,,,,,
,WFSC,,,,,,,,,,,,,,,
,WISC,,,,,,,,,,,,,,,
,WMHS,,,,,,,,,,,,,,,
,Subtotal,,2,1,,,3,,,,1,1,,,4,
Architecture,ARCH,,,,,,,,,,,,,,,
,COMG,,,,,,,,,,,,,,,
,COSC,,,,,,,,,,,,,,,
,COSL,,,,,,,,,,,,,,,
,ENDL,,,,,,,,,,,,,,,
,ENDS,,,,,,,,,,,,,,,
,LAND,,,,,,,,,,,,,,,
,LANL,,,,,,,,,,,,,,,
,LDEV,,,,,,,,,,,,,,,
,NUTR,,,,,,,,,,,,,,,
,URPL,,,,,,,,,,,,,,,
,URSC,,,1,,,1,,,,,,,,1,
,USAR,,,,,,,,,,,,,,,
,VISL,,,,,,,,,,,,,,,
,VIST,,,,,,,,,,,,,,,
,Subtotal,,,1,,,1,,,,,,,,1,
