College General Studies,,,,,,,,,,,,
Texas A&M University Student Enrollment Summary,,,,,,,,,,,,
Student Head Count by Level by College (College Station Campus) Fall 2011,,,,,,,,,,,,
Fall 2011,,Student Level,,,,,,,,,,
,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,%,#,%,#,%,#,%,#,%,
Gender,Total,"5,220",100.0%,,,,,,,"5,220",100.0%,
Female,,"2,372",45.4%,,,,,,,"2,372",45.4%,
Male,,"2,848",54.6%,,,,,,,"2,848",54.6%,
Ethnicity,White Only (NEW),"3,544",67.9%,,,,,,,"3,544",67.9%,
American Indian Only (NEW),,13,.2%,,,,,,,13,.2%,
Asian Only (NEW),,255,4.9%,,,,,,,255,4.9%,
Black Only + 2 or more/1 Black,,227,4.3%,,,,,,,227,4.3%,
Hispanic or Latino of any Race,,"1,007",19.3%,,,,,,,"1,007",19.3%,
Native Hawaii Only (New),,6,.1%,,,,,,,6,.1%,
2 or More/Excluding Black (NEW),,105,2.0%,,,,,,,105,2.0%,
International,,49,.9%,,,,,,,49,.9%,
Unknown or Not Reported,,14,.3%,,,,,,,14,.3%,
TAMU Age Categories,<18,17,.3%,,,,,,,17,.3%,
18-21,,"5,146",98.6%,,,,,,,"5,146",98.6%,
22-25,,45,.9%,,,,,,,45,.9%,
26-30,,9,.2%,,,,,,,9,.2%,
31-39,,3,.1%,,,,,,,3,.1%,
40+,,,,,,,,,,,,
Enrollment Status,1st Time in College,"2,244",43.0%,,,,,,,"2,244",43.0%,
1st Time PB,,,,,,,,,,,,
1st Time Graduate,,,,,,,,,,,,
1st Time Professional,,,,,,,,,,,,
1st Time Transfer,,148,2.8%,,,,,,,148,2.8%,
Readmitted,,78,1.5%,,,,,,,78,1.5%,
Continuing,,"2,750",52.7%,,,,,,,"2,750",52.7%,
Tuition Status,Resident Tuition,"4,876",93.4%,,,,,,,"4,876",93.4%,
Non-Resident  Tuition,,108,2.1%,,,,,,,108,2.1%,
Tuition Exemption/Waiver,,236,4.5%,,,,,,,236,4.5%,
Residency Status,Texas Resident,"5,026",96.3%,,,,,,,"5,026",96.3%,
"Non-TX, US Resident",,144,2.8%,,,,,,,144,2.8%,
"Non-TX, Non-US Resident",,50,1.0%,,,,,,,50,1.0%,
SCH Categories,< 6 SCH,976,18.7%,,,,,,,976,18.7%,
6-8 SCH,,100,1.9%,,,,,,,100,1.9%,
9-11 SCH,,56,1.1%,,,,,,,56,1.1%,
12-14 SCH,,"2,875",55.1%,,,,,,,"2,875",55.1%,
15-17 SCH,,"1,194",22.9%,,,,,,,"1,194",22.9%,
>17 SCH,,19,.4%,,,,,,,19,.4%,
Ft/Pt: TAMU Status,Less Than Half Time,976,18.7%,,,,,,,976,18.7%,
Half-Time,,163,3.1%,,,,,,,163,3.1%,
Full-Time,,"4,081",78.2%,,,,,,,"4,081",78.2%,
Top 10% Texas High,No,"3,717",71.2%,,,,,,,"3,717",71.2%,
School,Yes,"1,503",28.8%,,,,,,,"1,503",28.8%,
First Generation,No,"3,531",67.6%,,,,,,,"3,531",67.6%,
Unknown,,181,3.5%,,,,,,,181,3.5%,
Yes,,"1,508",28.9%,,,,,,,"1,508",28.9%,
"Prepared by DARS, 1/6/2012",,,,,,,,,,,,
Page 13,,,,,,,,,,,,
