2 or More/Excluding Black (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity (College Station Campus),,,,,,,,,,,,,,,,
Fall 2011,,,,,,,,,,,,,,,,
Fall 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
Liberal Arts,AMST,,,,,,,,,,,,,,,
,ANTH,4,2,,,,6,,3,3,1,1,,,10,
,CLSS,,,,,,,,,,,,,,,
,COMM,3,4,4,11,,22,,,,,,,,22,
,ECON,4,1,1,4,,10,,,,,,,,10,
,ENGL,2,4,4,3,,13,,,,1,1,,,14,
,FREN,,,,,,,,,,,,,,,
,GERM,,,,,,,,,,,,,,,
,HISP,,,,,,,,,,,,,,,
,HIST,2,2,5,4,,13,,1,1,1,1,,,15,
,INTS,4,2,3,4,,13,,,,,,,,13,
,MODL,,,,,,,,,,,,,,,
,MUSC,,,,,,,,,,,,,,,
,NRSC,,,,,,,,,,,,,,,
,NUTR,,,,,,,,,,,,,,,
,PERF,,,,,,,,,,,,,,,
,PHIL,,1,1,,,2,,,,,,,,2,
,POLS,3,3,1,6,,13,,,,,,,,13,
,PSYC,3,6,,4,,13,,,,,,,,13,
,RUSS,,,,,,,,,,,,,,,
,SOCI,,,,3,,3,,1,1,2,2,,,6,
,SPAN,,,,,,,,,,,,,,,
,TCMS,1,1,1,1,,4,,,,,,,,4,
,THAR,,,,1,,1,,,,,,,,1,
,USLA,,,,,,,,,,,,,,,
,WGST,,,,,,,,,,,,,,,
,Subtotal,26,26,20,41,,113,,5,5,5,5,,,123,
