International,,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity (College Station Campus),,,,,,,,,,,,,,,,
Fall 2011,,,,,,,,,,,,,,,,
Fall 201,1,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
Business Admin,ACCT,,1,6,6,,13,,9,9,,,,,22,
,AGBU,,,,,,,,,,,,,,,
,BHNR,,,,1,,1,,,,,,,,1,
,BUAD,2,7,2,1,,12,,28,28,,,,,40,
,BUAG,,,,,,,,,,,,,,,
,EMBA,,,,,,,,3,3,,,,,3,
,FINC,,,1,8,,9,,1,1,6,6,,,16,
,INFO,,,2,2,,4,,,,7,7,,,11,
,MGMT,,,2,1,,3,,1,1,5,5,,,9,
,MISY,,,,,,,,114,114,,,,,114,
,MKTG,,,1,1,,2,,7,7,7,7,,,16,
,MLER,,,,,,,,1,1,,,,,1,
,USBU,,,,1,,1,,,,,,,,1,
,Subtotal,2,8,14,21,,45,,164,164,25,25,,,234,
Education,BIED,,,,,,,,4,4,,,,,4,
,CPSY,,,,,,,,1,1,1,1,,,2,
,EDAD,,,,,,,,1,1,,,,,1,
,EDCI,,,,,,,1,30,31,31,31,,,62,
,EDHL,,1,,,,1,,,,,,,,1,
,EDIS,,,,2,,2,,,,,,,,2,
,EDKI,2,,,,,2,,,,,,,,2,
,EDSM,,1,1,,,2,,,,,,,,2,
,EDTC,,,,,,,,3,3,,,,,3,
,EHRD,,,,,,,,9,9,13,13,,,22,
,EPSY,,,,,,,,11,11,27,27,,,38,
,HEED,,,,,,,,1,1,5,5,,,6,
,HLTH,,,,,,,,,,,,,,,
,HRDL,,1,,,,1,,,,,,,,1,
,HRDV,,,,,,,,,,,,,,,
,INST,,,,1,,1,,,,,,,,1,
,KINE,,,,1,,1,,10,10,16,16,,,27,
,NUTR,,,,,,,,1,1,,,,,1,
,PHED,,,,,,,,,,,,,,,
,SPED,,,,,,,,,,,,,,,
,SPMT,,,1,,,1,,2,2,,,,,3,
,SPSY,,,,,,,,,,3,3,,,3,
,TCMG,,,,,,,,,,,,,,,
