International,,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity (College Station Campus),,,,,,,,,,,,,,,,
Fall 2011,,,,,,,,,,,,,,,,
Fall 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
Education,TCML,,,,,,,,,,,,,,,
,TECR,,,,,,,,,,,,,,,
,USEH,,,,,,,,,,,,,,,
,Subtotal,2,3,2,4,,11,1,73,74,96,96,,,181,
Engineering,AERL,4,2,,,,6,,,,,,,,6,
,AERO,,,,7,,7,,15,15,29,29,,,51,
,BIOT,,,,,,,,12,12,,,,,12,
,BMEL,,,,,,,,,,,,,,,
,BMEN,,,1,1,,2,,9,9,24,24,,,35,
,CECL,1,5,2,1,,9,,,,,,,,9,
,CECN,,,2,4,,6,,33,33,35,35,,,74,
,CEEL,1,5,,,,6,,,,,,,,6,
,CEEN,,,1,7,,8,,52,52,25,25,,,85,
,CHEL,,2,2,1,,5,,,,,,,,5,
,CHEN,,2,6,23,,31,,32,32,50,50,,,113,
,CPSC,,2,,11,,13,,98,98,51,51,,,162,
,CPSL,3,4,2,2,,11,,,,,,,,11,
,CVEL,2,1,,,,3,,,,,,,,3,
,CVEN,,4,6,12,,22,,87,87,118,118,,,227,
,ELEL,3,5,10,3,,21,,,,,,,,21,
,ELEN,,3,6,23,,32,1,169,170,175,175,,,377,
,ENGR,,,,,,,,,,1,1,,,1,
,ENSM,,,,,,,,1,1,,,,,1,
,ENTC,,,,4,,4,,,,,,,,4,
,ENTL,,,1,,,1,,,,,,,,1,
,HLPH,,,,,,,,,,,,,,,
,IDIL,,,2,,,2,,,,,,,,2,
,IDIS,,,1,4,,5,,1,1,,,,,6,
,INEL,3,13,5,1,,22,,,,,,,,22,
,INEN,,2,5,12,,19,,133,133,44,44,,,196,
,ITDE,,,,,,,,,,,,,,,
,MEEL,2,,3,1,,6,,,,,,,,6,
,MEEN,,2,4,8,,14,3,68,71,168,168,,,253,
,MSEN,,,,,,,,19,19,48,48,,,67,
,NUEL,,2,,,,2,,,,,,,,2,
,NUEN,2,2,3,5,,12,,17,17,20,20,,,49,
,OCEL,,,2,,1,3,,,,,,,,3,
