Unknown or Not Reported,,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity (College Station Campus),,,,,,,,,,,,,,,,
Fall 2011,,,,,,,,,,,,,,,,
Fall 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
Engineering,OCEN,,,,,,,,,,,,,,,
,PETE,,,,,,,,7,7,1,1,,,8,
,PETL,,1,,,,1,,,,,,,,1,
,RHEL,,,,,,,,,,,,,,,
,RHEN,,,,,,,,,,,,,,,
,SENG,,,,,,,,,,,,,,,
,USEN,,,,,,,,,,,,,,,
,WMHS,,,,,,,,,,,,,,,
,Subtotal,2,4,7,5,,18,,14,14,4,4,,,36,
"G. Bush School of Govt
Geosciences",CAIA,,,,,,,2,,2,,,,,2,
,CHLS,,,,,,,,,,,,,,,
,CNPM,,,,,,,,,,,,,,,
,INTA,,,,,,,,1,1,,,,,1,
,PSAA,,,,,,,,,,,,,,,
,Subtotal,,,,,,,2,1,3,,,,,3,
,ATMO,,,,,,,,,,,,,,,
,ENGS,,,,,,,,,,,,,,,
,ENST,,,,,,,,,,,,,,,
,GEOG,,,,,,,,,,1,1,,,1,
,GEOL,,,,,,,,1,1,,,,,1,
,GEOP,,,,,,,,,,,,,,,
,GEOS,,,,,,,,,,,,,,,
,MARB,,,,,,,,,,,,,,,
,METR,,,,,,,,,,,,,,,
,OCNG,,,,,,,,1,1,,,,,1,
,SPSG,,,,,,,,,,,,,,,
,USGE,,,,,,,,,,,,,,,
,WMHS,,,,,,,,,,,,,,,
,Subtotal,,,,,,,,2,2,1,1,,,3,
