Fall 2011,,White Only (NEW),,,American Indian Only (NEW),,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Native Hawaii Only (New),,,2 or More/Excluding Black (NEW),,,International,,,Unknown or Not Reported,,,Grand Total,,,
,,F,M,Tot,F,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,7,14,21,,,,1,1,,,,3,5,8,,,,,,,,,,,,,10,20,30,
"TAMU Age Categories
Classification
Tuition Status
Residency Status
SCH Categories
Ft/Pt: TAMU Status
Top 10% Texas High School
First Generation
Dorm / Off-campus students",<18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18-21,5,7,12,,,,,,,,,2,3,5,,,,,,,,,,,,,7,10,17,
,22-25,1,7,8,,,,,,,,,1,1,2,,,,,,,,,,,,,2,8,10,
,26-30,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,1,1,
,31-39,1,,1,,,,,,,,,,1,1,,,,,,,,,,,,,1,1,2,
,40+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Freshman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sophomore,1,10,11,,,,,,,,,,2,2,,,,,,,,,,,,,1,12,13,
,Junior,4,4,8,,,,,,,,,3,2,5,,,,,,,,,,,,,7,6,13,
,Senior,2,,2,,,,1,1,,,,,,,,,,,,,,,,,,,2,1,3,
,PB,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,1,1,
,Resident Tuition,6,14,20,,,,1,1,,,,2,3,5,,,,,,,,,,,,,8,18,26,
,Non-Resident  Tuition,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,1,1,
,Tuition,1,,1,,,,,,,,,1,1,2,,,,,,,,,,,,,2,1,3,
,Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Texas Resident,7,14,21,,,,1,1,,,,3,4,7,,,,,,,,,,,,,10,19,29,
,"Non-TX, US Resident",,,,,,,,,,,,,1,1,,,,,,,,,,,,,,1,1,
,"Non-TX, Non-US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Resident,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,< 6 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6-8 SCH,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,1,1,
,9-11 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12-14 SCH,5,10,15,,,,1,1,,,,2,4,6,,,,,,,,,,,,,7,15,22,
,15-17 SCH,2,4,6,,,,,,,,,1,,1,,,,,,,,,,,,,3,4,7,
,>17 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Less Than Half Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Half-Time,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,1,1,
,Full-Time,7,14,21,,,,1,1,,,,3,4,7,,,,,,,,,,,,,10,19,29,
,No,6,13,19,,,,1,1,,,,2,5,7,,,,,,,,,,,,,8,19,27,
,Yes,1,1,2,,,,,,,,,1,,1,,,,,,,,,,,,,2,1,3,
,No,1,9,10,,,,1,1,,,,1,1,2,,,,,,,,,,,,,2,11,13,
,Unknown,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,1,1,
,Yes,6,5,11,,,,,,,,,2,3,5,,,,,,,,,,,,,8,8,16,
,Off-campus,7,14,21,,,,1,1,,,,3,4,7,,,,,,,,,,,,,10,19,29,
,Dorm  (On-campus),,,,,,,,,,,,,1,1,,,,,,,,,,,,,,1,1,
"Prepared by DARS, 09 Jan 12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
