Fall 2011,,White Only (NEW),American Indian Only (NEW),Asian Only (NEW),Black Only + 2 or more/1 Black (NEW),Hispanic or Latino of any Race (NEW),Native Hawaii Only (New),2 or More/Excluding Black (NEW),International,Unknown or Not Reported,Total,
Agriculture,AGEC,648,3,9,10,71,,14,102,2,859,
ALEC,,909,6,5,75,112,,14,9,1,"1,131",
ANSC,,752,6,8,9,136,1,14,14,2,942,
BAEN,,280,1,13,10,50,,7,56,1,418,
BCBP,,229,2,67,22,47,,11,65,4,447,
CLAG,,58,,,7,9,,,,,74,
ENTO,,130,3,7,12,69,,8,15,1,245,
ESSM,,203,2,4,5,40,,6,17,1,278,
HRSC,,159,3,2,1,30,,2,18,,215,
NFSC,,405,,39,13,100,1,12,31,1,602,
PLPM,,160,2,16,10,76,1,6,15,1,287,
POSC,,126,2,2,7,30,,2,18,,187,
RPTS,,364,1,8,16,49,1,5,32,,476,
SCSC,,193,1,4,6,23,,4,43,,274,
WFSC,,375,2,3,11,127,,8,21,2,549,
Subtotal,,"4,991",34,187,214,969,4,113,456,16,"6,984",
Architecture,ARCH,289,2,22,8,100,,9,74,1,505,
CLAR,,32,,1,1,10,,2,,,46,
COSC,,504,5,3,12,93,,8,26,1,652,
LAUP,,184,,7,8,61,1,6,103,1,371,
VIZA,,206,1,13,2,38,,3,16,2,281,
Subtotal,,"1,215",8,46,31,302,1,28,219,5,"1,855",
Business Admin,ACCT,639,,48,22,78,1,8,22,2,820,
CLBA,,"1,597",1,120,68,260,2,31,45,8,"2,132",
FINC,,561,3,31,11,67,,7,17,2,699,
INFO,,331,1,33,13,69,1,6,125,1,580,
MGMT,,240,1,14,15,29,,5,9,5,318,
MKTG,,371,,13,11,47,,7,16,,465,
Subtotal,,"3,739",6,259,140,550,4,64,234,18,"5,014",
Education,CLED,10,,,,1,,,,,11,
EAHR,,419,2,32,82,145,,6,24,1,711,
EPSY,,318,,12,24,133,,9,53,2,551,
HLKN,,"1,598",8,53,98,338,1,43,42,1,"2,182",
TLAC,,"1,341",3,17,81,165,1,26,62,3,"1,699",
Subtotal,,"3,686",13,114,285,782,2,84,181,7,"5,154",
Engineering,AERO,566,3,27,11,122,,26,60,3,818,
BMEN,,320,1,50,15,78,,18,37,2,521,
CHEN,,495,2,73,27,104,1,16,149,4,871,
CLEN,,5,,3,2,2,,,1,,13,
CSCE,,556,5,68,43,137,2,17,256,4,"1,088",
CVEN,,850,2,53,30,207,2,17,276,3,"1,440",
ECEN,,638,1,125,35,198,3,29,489,2,"1,520",
ETID,,686,3,32,33,146,,13,13,,926,
ISEN,,427,2,43,36,142,2,9,219,6,886,
MEEN,,"1,035",7,65,29,184,3,18,308,1,"1,650",
NUEN,,295,1,18,9,57,1,9,52,2,444,
PETE,,530,4,49,27,94,,14,275,9,"1,002",
Subtotal,,"6,403",31,606,297,"1,471",14,186,"2,135",36,"11,179",
Page 23,,,,,,,,,,,,
