Fall 20,11,White Only (NEW),,American Indian Only (NEW),,Asian Only (NEW),,Black Only + 2 or more/1 Black (NEW),,Hispanic or Latino of any Race (NEW),,Native Hawaii Only (New),,2 or More/Excluding Black (NEW),,International,,Unknown or Not Reported,,Total,,Total,
,,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
Agriculture,AGEC,198,450,3,,3,6,3,7,24,47,,,4,10,44,58,,2,279,580,859,
ALEC,,506,403,3,3,2,3,23,52,54,58,,,5,9,6,3,,1,599,532,"1,131",
ANSC,,537,215,6,,7,1,6,3,92,44,,1,10,4,8,6,2,,668,274,942,
BAEN,,42,238,,1,4,9,4,6,11,39,,,2,5,20,36,,1,83,335,418,
BCBP,,115,114,,2,30,37,15,7,24,23,,,7,4,23,42,3,1,217,230,447,
CLAG,,23,35,,,,,2,5,4,5,,,,,,,,,29,45,74,
ENTO,,78,52,1,2,2,5,10,2,49,20,,,6,2,8,7,1,,155,90,245,
ESSM,,56,147,,2,2,2,3,2,16,24,,,1,5,10,7,,1,88,190,278,
HRSC,,115,44,1,2,2,,,1,19,11,,,2,,10,8,,,149,66,215,
NFSC,,333,72,,,25,14,11,2,79,21,1,,10,2,23,8,1,,483,119,602,
PLPM,,86,74,1,1,7,9,5,5,49,27,,1,5,1,6,9,,1,159,128,287,
POSC,,52,74,1,1,2,,4,3,15,15,,,2,,11,7,,,87,100,187,
RPTS,,208,156,1,,4,4,7,9,25,24,1,,,5,23,9,,,269,207,476,
SCSC,,40,153,,1,,4,2,4,9,14,,,,4,19,24,,,70,204,274,
WFSC,,191,184,1,1,2,1,10,1,77,50,,,4,4,12,9,2,,299,250,549,
Subtotal,,"2,580","2,411",18,16,92,95,105,109,547,422,2,2,58,55,223,233,9,7,"3,634","3,350","6,984",
Architecture,ARCH,147,142,2,,14,8,2,6,53,47,,,4,5,37,37,1,,260,245,505,
CLAR,,7,25,,,,1,,1,6,4,,,,2,,,,,13,33,46,
COSC,,44,460,,5,2,1,2,10,21,72,,,1,7,9,17,,1,79,573,652,
LAUP,,66,118,,,6,1,2,6,23,38,1,,1,5,59,44,,1,158,213,371,
VIZA,,101,105,1,,6,7,,2,16,22,,,1,2,6,10,1,1,132,149,281,
Subtotal,,365,850,3,5,28,18,6,25,119,183,1,,7,21,111,108,2,3,642,"1,213","1,855",
Business Admin,ACCT,341,298,,,16,32,13,9,49,29,,1,5,3,16,6,,2,440,380,820,
CLBA,,728,869,,1,58,62,31,37,127,133,,2,17,14,18,27,2,6,981,"1,151","2,132",
FINC,,181,380,1,2,7,24,5,6,26,41,,,5,2,,17,,2,225,474,699,
INFO,,120,211,1,,12,21,6,7,30,39,,1,2,4,37,88,,1,208,372,580,
MGMT,,132,108,,1,10,4,10,5,16,13,,,2,3,6,3,1,4,177,141,318,
MKTG,,279,92,,,11,2,8,3,32,15,,,5,2,10,6,,,345,120,465,
Subtotal,,"1,781","1,958",2,4,114,145,73,67,280,270,,4,36,28,87,147,3,15,"2,376","2,638","5,014",
Page 25,,,,,,,,,,,,,,,,,,,,,,,
