Fall 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,,
"Science                                   BIOL
CHEM CLSC MATH PHYS STAT
Subtotal",,19,13,10,14,,56,,,,1,1,,,57,
,,4,,,4,,8,,1,1,6,6,,,15,
,,,,1,1,,2,,,,,,,,2,
,,4,,3,4,,11,,,,1,1,,,12,
,,,,,1,,1,,1,1,2,2,,,4,
,,,,,,,,3,2,5,,,,,5,
,,27,13,14,24,,78,3,4,7,10,10,,,95,
"Veterinary Medicine
General Studies
Other - Special Populations
University",CLVM,25,11,13,6,,55,,1,1,,,5,5,61,
,"VIBS VLCS VSCS VTPB VTPP
Subtotal GEST
Subtotal CLMD GACD MARB MARS SABX SRPH
Subtotal
Total",,,,,,,,2,2,,,,,2,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,1,,1,2,2,,,3,
,,,,,,,,,1,1,,,,,1,
,,25,11,13,6,,55,1,4,5,2,2,5,5,67,
,,129,90,8,,,227,,,,,,,,227,
,,129,90,8,,,227,,,,,,,,227,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,2,,2,,,,,2,
,,,,,,,,2,,2,,,,,2,
,,350,263,301,410,4,"1,328",20,149,169,215,215,5,5,"1,717",
"Prepared by DARS, 09 Jan 12",,,,,,,,,,,,,,,,
