Fall 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total
,,Freshman,Sophomor e,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Profession al Veterinary,Total,
Engineering,AERO,,,2,,,2,,,,1,1,,,3
,BMEN,,1,,,,1,,,,1,1,,,2
,CHEN,,1,3,,,4,,,,,,,,4
,CLEN,,,,,,,,,,,,,,
,CSCE,1,,,,,1,,2,2,1,1,,,4
,CVEN,,,,1,,1,,2,2,,,,,3
,ECEN,1,,,1,,2,,,,,,,,2
,ETID,,,,,,,,,,,,,,
,ISEN,,1,1,2,,4,,2,2,,,,,6
,MEEN,,,1,,,1,,,,,,,,1
,NUEN,,,,1,,1,,1,1,,,,,2
,PETE,,1,,,,1,,7,7,1,1,,,9
,Subtotal,2,4,7,5,,18,,14,14,4,4,,,36
"G. Bush School of Govt Geosciences
Liberal Arts",BUSH,,,,,,,2,1,3,,,,,3
,Subtotal,,,,,,,2,1,3,,,,,3
,ATMO,,,,,,,,,,,,,,
,CLGE,,,,,,,,,,,,,,
,GEOG,,,,,,,,,,1,1,,,1
,GEPL,,,,,,,,1,1,,,,,1
,OCNG,,,,,,,,1,1,,,,,1
,Subtotal,,,,,,,,2,2,1,1,,,3
,ANTH,,,,,,,,,,,,,,
,CLLA,,1,,,,1,,,,,,,,1
,COMM,,,1,1,,2,,1,1,,,,,3
,ECON,,1,1,,,2,,1,1,,,,,3
,ENGL,,,1,1,,2,,,,,,,,2
,EURO,,,,,,,,,,,,,,
,HISP,,,,1,,1,,,,,,,,1
,HIST,1,,1,,,2,,,,3,3,,,5
,PHUM,,,,,,,,2,2,1,1,,,3
,POLS,,2,2,1,,5,,,,,,,,5
,PRFM,,,,,,,,,,,,,,
,PSYC,,2,1,1,,4,,,,,,,,4
,SOCI,,,1,,,1,,,,1,1,,,2
,Subtotal,1,6,8,5,,20,,4,4,5,5,,,29
