Headcount by Major by Level by Entry Status (College Station Campus),,,,,,,,,,,,,,,,,
Fall 2011,,,,,,,,,,,,,,,,,
Fall 2011,,Undergraduate,,,,Masters,,,,PhD,,,,Professional,,Total,
,,1st Time in College,1st Time Transfer,Readmitte d,Continuing,1st Time PB,1st Time Graduate,Readmitte d,Continuing,1st Time Graduate,Readmitte d,Continuing,1st Time Profession al,Readmitte d,Continuing,,
Engineering,AERL,184,12,,134,,,,,,,,,,,330,
,AERO,,,1,352,,17,,46,11,,57,,,,484,
,BIOT,,,,,,17,,2,,,,,,,19,
,BMEL,107,1,,75,,,,,,,,,,,183,
,BMEN,1,3,,230,,23,,27,9,,39,,,,332,
,CECL,106,11,,71,,,,,,,,,,,188,
,CECN,,,2,128,2,18,,22,12,,28,,,,212,
,CEEL,60,9,1,41,,,,,,,,,,,111,
,CEEN,,,1,72,,24,,33,6,,21,,,,157,
,CHEL,126,18,1,71,,,,,,,,,,,216,
,CHEN,,,3,498,,20,,25,11,,55,,,,612,
,CPSC,,,2,199,,30,,121,10,,75,,,,437,
,CPSL,87,18,4,142,,,,,,,,,,,251,
,CVEL,191,1,1,95,,,,,,,,,,,288,
,CVEN,1,24,3,586,,71,,131,27,,118,,,,961,
,ELEL,200,55,3,162,,,,,,,,,,,420,
,ELEN,,1,,382,1,83,,138,29,1,197,,,,832,
,ENGR,,,,,,,,,,,8,,,,8,
,ENSM,,,,,,4,,7,,,,,,,11,
,ENTC,,,6,239,,,,,,,,,,,245,
,ENTL,12,6,9,103,,,,,,,,,,,130,
,HLPH,,,,,,1,,10,,,,,,,11,
,IDIL,21,26,3,112,,,,,,,,,,,162,
,IDIS,,2,,360,,14,,13,,,,,,,389,
,INEL,68,25,3,115,,,,,,,,,,,211,
,INEN,,1,3,431,,68,,103,13,,45,,,,664,
,ITDE,,,,,,,,,,,2,,,,2,
,MEEL,275,47,,109,,,,,,,,,,,431,
,MEEN,,,,765,6,67,1,99,46,1,167,,,,"1,152",
,MSEN,,,,,,16,,14,4,,59,,,,93,
,NUEL,40,2,1,36,,,,,,,,,,,79,
,NUEN,,5,3,157,,23,,50,6,,43,,,,287,
,OCEL,16,6,,21,,,,,,,,,,,43,
,OCEN,,,3,85,,16,,24,6,,13,,,,147,
,PETE,,,,260,1,77,,145,13,,98,,,,594,
,PETL,128,24,6,250,,,,,,,,,,,408,
,RHEL,11,,,9,,,,,,,,,,,20,
,RHEN,,,1,45,,,,,,,,,,,46,
,SENG,,,,,1,1,,7,,,,,,,9,
,USEN,,,1,2,,,,,,,,,,,3,
,WMHS,,,,,,,,1,,,,,,,1,
,Subtotal,"1,634",297,61,"6,337",11,590,1,"1,018",203,2,"1,025",,,,"11,179",
G. Bush School of Govt,CAIA,,,,,26,,,17,,,,,,,43,
,CHLS,,,,,13,,,17,,,,,,,30,
,CNPM,,,,,19,,,6,,,,,,,25,
,INTA,,,,,,74,,54,,,,,,,128,
,PSAA,,,,,,61,,47,,,,,,,108,
,Subtotal,,,,,58,135,,141,,,,,,,334,
