Headcount by Major by Ethnic Origin (College Station Campus),,,,,,,,,,,
Fall 2011,,,,,,,,,,,
Fall 2011,White Only (NEW),American Indian Only (NEW),Asian Only (NEW),"Black Only
+ 2 or more/1 Black (NEW)",Hispanic or Latino of any Race (NEW),Native Hawaii Only (New),2 or More/Excl uding Black (NEW),Internatio nal,Unknown or Not Reported,Total,
Science                             APHY,5,1,,,3,,1,1,,11,
APMS,95,,13,5,22,,4,4,2,145,
BIOL,740,7,176,48,290,2,31,40,,"1,334",
BMCB,55,,12,1,27,,5,2,1,103,
BOTN,1,,,,1,,,,,2,
CHEM,274,2,39,15,88,,9,149,4,580,
GENE,1,,,,,,,,,1,
MATH,221,1,14,7,63,1,13,84,3,407,
MBIO,49,,9,5,20,,4,9,,96,
MEPS,,,1,,,,,,,1,
MSEN,,,,,,,,1,,1,
PHYS,176,,11,4,38,,7,87,2,325,
STAT,86,1,21,5,6,,3,55,7,184,
USSC,13,,,2,2,,,,,17,
ZOOL,78,,1,3,15,,2,1,,100,
Subtotal,"1,794",12,297,95,575,3,79,433,19,"3,307",
Veterinary Medicine     BIMS,"1,137",7,175,58,339,2,43,35,2,"1,798",
BIOT,,,1,,1,,,2,,4,
EPID,,,1,,,,,,,1,
GENE,5,,1,,,,,,,6,
LAMD,2,,,,,,,,,2,
STJR,4,,,,,,,5,,9,
TOXI,8,,,2,,,,5,,15,
USVM,,,1,,,,,,,1,
VPAT,13,,,,2,,,3,,18,
VPHY,1,,,,,,,,,1,
VTMD,443,1,16,5,47,,2,,7,521,
VTMI,7,,,2,1,,,4,,14,
VTPH,,,1,,,,,,,1,
Subtotal,"1,620",8,196,67,390,2,45,54,9,"2,391",
General Studies              GEST,"2,746",12,237,211,853,4,75,49,13,"4,200",
TEAM,798,1,18,16,154,2,30,,1,"1,020",
Subtotal,"3,544",13,255,227,"1,007",6,105,49,14,"5,220",
