Fall 201,1,White Only (NEW),,American Indian Only (NEW),,Asian Only (NEW),,Black Only + 2 or more/1 Black (NEW),,Hispanic or Latino of any Race (NEW),,Native Hawaii Only (New),,2 or More/Excluding Black (NEW),,International,,Unknown or Not Reported,,Total,,Total
,,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,
Architecture,ARCH,25,40,2,,4,3,,2,3,11,,,,,35,37,1,,70,93,163
,COMG,5,12,,,,,1,,1,3,,,,1,9,15,,,16,31,47
,COSC,25,265,,4,1,1,,6,7,36,,,1,4,,1,,,34,317,351
,COSL,14,183,,1,1,,1,4,13,33,,,,2,,1,,1,29,225,254
,ENDL,70,56,,,6,1,2,1,27,17,,,2,3,1,,,,108,78,186
,ENDS,52,46,,,4,4,,3,23,19,,,2,2,1,,,,82,74,156
,LAND,23,35,,,4,,,,3,9,,,1,3,24,6,,,55,53,108
,LANL,15,14,,,,,,1,4,7,,,,1,,,,,19,23,42
,LDEV,5,16,,,,,,1,,3,,,,,1,7,,,6,27,33
,NUTR,,,,,,,,,,,,,,,1,,,,1,,1
,URPL,11,15,,,,,,,2,2,,,,1,15,5,,1,28,24,52
,URSC,12,38,,,2,1,2,4,14,17,1,,,,18,26,,,49,86,135
,USAR,7,25,,,,1,,1,6,4,,,,2,,,,,13,33,46
,VISL,49,31,,,2,2,,1,8,11,,,1,1,1,,,,61,46,107
,VIST,52,74,1,,4,5,,1,8,11,,,,1,5,10,1,1,71,103,174
,Subtotal,365,850,3,5,28,18,6,25,119,183,1,,7,21,111,108,2,3,642,"1,213","1,855"
Business Admin,ACCT,341,298,,,16,32,13,9,49,29,,1,5,3,16,6,,2,440,380,820
,AGBU,3,3,,,,,,,,,,,,,,,,,3,3,6
,BHNR,56,47,,1,2,4,,3,3,6,,,,1,,1,,,61,63,124
,BUAD,605,682,,,52,52,26,27,114,107,,2,14,10,16,24,2,3,829,907,"1,736"
,BUAG,6,4,,,,,,,,,,,,,,,,,6,4,10
,EMBA,10,60,,,2,4,2,5,2,14,,,,,1,2,,3,17,88,105
,FINC,173,340,1,2,7,23,5,6,25,37,,,5,2,,16,,2,216,428,644
,INFO,98,187,1,,10,18,6,7,27,38,,1,2,4,2,9,,1,146,265,411
,MGMT,132,108,,1,10,4,10,5,16,13,,,2,3,6,3,1,4,177,141,318
,MISY,22,24,,,2,3,,,3,1,,,,,35,79,,,62,107,169
,MKTG,279,92,,,11,2,8,3,32,15,,,5,2,10,6,,,345,120,465
,MLER,8,40,,,,1,,,1,4,,,,,,1,,,9,46,55
,USBU,48,73,,,2,2,3,2,8,6,,,3,3,1,,,,65,86,151
,Subtotal,"1,781","1,958",2,4,114,145,73,67,280,270,,4,36,28,87,147,3,15,"2,376","2,638","5,014"
Education,BIED,4,,,,,,,,9,1,,,,,4,,,,17,1,18
,CPSY,12,1,,,2,1,6,1,10,4,,,2,,2,,,,34,7,41
,EDAD,71,65,1,1,5,1,25,17,32,19,,,1,,1,,,1,136,104,240
,EDCI,180,37,2,,5,1,46,10,29,8,,,6,1,36,26,,2,304,85,389
,EDHL,323,22,,,13,1,14,4,76,13,,,9,1,1,,,,436,41,477
,EDIS,602,27,,,4,,15,4,94,12,,,9,,2,,,,726,43,769
,EDKI,286,164,1,,7,10,11,7,67,43,1,,14,6,2,,,,389,230,619
,EDSM,49,106,,1,,1,5,14,8,22,,,1,4,1,1,1,,65,149,214
,EDTC,9,4,,,1,,,,2,1,,,1,,3,,,,16,5,21
,EHRD,49,25,,,6,3,16,7,20,6,,,1,1,16,6,,,108,48,156
,EPSY,49,8,,,2,1,4,2,17,5,,,2,1,30,8,,2,104,27,131
,HEED,23,2,,,3,,4,2,8,4,,,1,,4,2,,,43,10,53
,HLTH,165,16,2,,6,2,7,,21,4,,,2,,,,,,203,22,225
,HRDL,60,17,,,5,,5,6,15,11,,,,,1,,,,86,34,120
,HRDV,57,21,,,3,3,2,1,9,4,,,,2,,,,,71,31,102
,INST,655,33,1,,7,1,9,1,88,8,1,,10,2,1,,1,,773,45,818
,KINE,156,116,2,2,3,4,8,6,26,21,,,1,1,7,20,,,203,170,373
,NUTR,,,,,1,,,,,,,,,,1,,,,2,,2
,PHED,,1,,,,,,,,,,,,,,,,,,1,1
,SPED,18,1,,,1,,2,,2,,,,,,,,,,23,1,24
,SPMT,54,115,,,1,1,7,9,13,12,,,1,2,1,2,,,77,141,218
,SPSY,14,5,,,3,,5,,5,3,,,1,,3,,,,31,8,39
,TCMG,1,19,,,1,1,,,1,9,,,1,,,,,,4,29,33
,TCML,7,27,,,1,3,2,1,6,13,,,,,,,,,16,44,60
,TECR,6,2,,,,,,,1,,,,,,,,,,7,2,9
,USEH,2,,,,,,,,,,,,,,,,,,2,,2
,Subtotal,"2,852",834,9,4,80,34,193,92,559,223,2,,63,21,116,65,2,5,"3,876","1,278","5,154"
