Fall 2011,,White Only (NEW),,American Indian Only (NEW),,Asian Only (NEW),,Black Only + 2 or more/1 Black (NEW),,Hispanic or Latino of any Race (NEW),,Native Hawaii Only (New),,2 or More/ Black (,Excluding NEW),Interna,tional,Unknown or Not Reported,,Total,,Total
,,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,
Engineering,AERL,33,195,,1,,11,,5,10,54,,,,14,,6,,1,43,287,330
,AERO,52,285,,2,2,14,2,4,10,48,,,2,10,5,46,,2,73,411,484
,BIOT,,2,,,,3,,,1,1,,,,,6,6,,,7,12,19
,BMEL,53,66,,1,6,7,3,3,18,18,,,3,5,,,,,83,100,183
,BMEN,74,125,,,13,22,2,7,19,23,,,3,7,14,21,,2,125,207,332
,CECL,8,102,,1,3,8,2,6,5,40,1,,1,2,3,6,,,23,165,188
,CECN,12,80,1,1,3,14,,9,4,12,,,,2,12,62,,,32,180,212
,CEEL,2,59,,,3,6,,5,5,24,,,,1,1,5,,,11,100,111
,CEEN,5,46,,,,2,,3,,10,,1,1,4,13,72,,,19,138,157
,CHEL,38,106,,1,10,11,1,3,15,22,,,1,2,,5,,1,65,151,216
,CHEN,98,249,,1,14,34,5,16,28,37,,1,5,8,39,74,,3,189,423,612
,CPSC,14,183,,1,4,14,3,10,5,33,,1,,4,33,129,,3,59,378,437
,CPSL,18,139,1,,5,17,1,12,4,34,,,2,6,1,10,,1,32,219,251
,CVEL,47,159,,,4,4,2,3,17,43,,,2,4,1,2,,,73,215,288
,CVEN,130,404,,,10,30,3,19,39,87,,1,1,7,53,174,2,1,238,723,961
,ELEL,28,236,,1,9,35,3,5,10,60,,,1,10,3,18,,1,54,366,420
,ELEN,33,229,,,7,63,4,15,11,78,,2,3,9,54,323,,1,112,720,832
,ENGR,,3,,,1,1,1,,,1,,,,,,1,,,2,6,8
,ENSM,2,5,,,,1,1,,1,,,,,,1,,,,5,6,11
,ENTC,8,165,,,1,14,,9,8,32,,,,4,,4,,,17,228,245
,ENTL,6,77,,,2,3,3,5,4,27,,,,2,,1,,,15,115,130
,HLPH,3,6,,,,1,,,1,,,,,,,,,,4,7,11
,IDIL,13,113,,2,1,2,1,3,2,18,,,1,4,,2,,,18,144,162
,IDIS,51,253,,1,5,4,6,6,8,47,,,,2,1,5,,,71,318,389
,INEL,25,105,,1,2,10,1,7,8,26,,1,,1,6,16,,2,42,169,211
,INEN,49,241,1,,5,25,6,21,27,80,,1,3,5,55,141,3,1,149,515,664
,ITDE,,1,,,1,,,,,,,,,,,,,,1,1,2
,MEEL,37,291,,1,2,12,3,4,12,53,,,,9,,6,,1,54,377,431
,MEEN,101,592,2,4,7,41,4,18,21,98,1,2,1,7,56,197,,,193,959,"1,152"
,MSEN,4,14,,,3,3,1,,,,,,,1,20,47,,,28,65,93
,NUEL,11,47,,,1,1,,1,3,10,,,,3,,2,,,15,64,79
,NUEN,27,159,,,1,9,1,5,5,25,,,,4,6,43,1,1,41,246,287
,OCEL,8,22,,1,,,,,4,2,,,,3,,3,,,12,31,43
,OCEN,5,75,,1,1,4,1,2,,15,,1,,,4,38,,,11,136,147
,PETE,40,200,,1,6,22,2,10,6,42,,,1,3,60,193,,8,115,479,594
,PETL,42,248,,3,6,15,1,14,6,40,,,3,7,4,18,,1,62,346,408
,RHEL,6,8,,,,1,1,,2,1,,,,1,,,,,9,11,20
,RHEN,17,11,,1,2,2,1,,4,6,1,,,1,,,,,25,21,46
,SENG,,1,,,,,,1,,,,,,,2,5,,,2,7,9
,USEN,,1,,,,,,1,,1,,,,,,,,,,3,3
,WMHS,,,,,,,,,,,,,,,,1,,,,1,1
,Subtotal,"1,100","5,303",5,26,140,466,65,232,323,"1,148",3,11,34,152,453,"1,682",6,30,"2,129","9,050","11,179"
G. Bush School of Govt,CAIA,12,16,,,,,1,1,3,6,,,,,1,1,1,1,18,25,43
,CHLS,4,15,,2,,,1,,3,4,,,,1,,,,,8,22,30
,CNPM,12,4,,,,,4,1,2,2,,,,,,,,,18,7,25
,INTA,40,54,,,5,3,2,,6,4,1,,2,1,6,3,,1,62,66,128
,PSAA,31,37,2,,,3,2,4,3,9,,,2,,9,6,,,49,59,108
,Subtotal,99,126,2,2,5,6,10,6,17,25,1,,4,2,16,10,1,2,155,179,334
Geosciences,ATMO,9,24,,,,,,1,,1,,,,,5,18,,,14,44,58
,ENGS,47,55,,,2,2,,1,9,5,1,,1,1,,,,,60,64,124
,ENST,39,41,1,,1,1,,4,4,12,,,2,,,1,,,47,59,106
,GEOG,35,71,,1,1,1,2,1,6,6,,,,2,10,12,,1,54,95,149
,GEOL,54,116,,,1,7,3,4,16,20,,,1,3,15,20,1,,91,170,261
,GEOP,7,31,,,2,3,1,,2,9,,,,,10,15,,,22,58,80
,GEOS,,,,,,,,,,,,,,,,1,,,,1,1
,MARB,1,,,,,,,,,,,,,,,,,,1,,1
,METR,48,56,,,1,1,1,4,10,16,,,,2,1,,,,61,79,140
,OCNG,26,17,1,,,3,1,,3,1,,,,,15,15,,1,46,37,83
,SPSG,1,2,,,,,,,,,,,,,,,,,1,2,3
,USGE,1,1,,,,,,,,1,,,,,,,,,1,2,3
,WMHS,2,13,,,,,1,,1,2,,,1,,6,9,,,11,24,35
,Subtotal,270,427,2,1,8,18,9,15,51,73,1,,5,8,62,91,1,2,409,635,"1,044"
