Ethnicity International,,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity Spring 2011,,,,,,,,,,,,,,,,
Spring 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Geosciences,ATMO,,,,,,,,5,5,15,15,,,20,
,ENGS,,,,,,,,,,,,,,,
,ENST,,,,1,,1,,,,,,,,1,
,GEOG,,,,1,,1,,2,2,14,14,,,17,
,GEOL,1,2,2,2,,7,1,9,10,15,15,,,32,
,GEOP,3,1,1,7,,12,1,5,6,12,12,,,30,
,GEOS,,,,,,,,2,2,,,,,2,
,MARB,,,,,,,,,,2,2,,,2,
,METR,,,,,,,,,,,,,,,
,OCNG,,,,,,,,6,6,26,26,,,32,
,SPSG,,,,,,,,,,,,,,,
,USGE,,,,,,,,,,,,,,,
,WMHS,,,,,,,,4,4,6,6,,,10,
,Subtotal,4,3,3,11,,21,2,33,35,90,90,,,146,
Liberal Arts,AMST,,,,,,,,,,,,,,,
,ANTH,,,,1,,1,,4,4,9,9,,,14,
,CLSS,,,,,,,,,,,,,,,
,COMM,,,,1,,1,,2,2,10,10,,,13,
,ECON,1,1,3,10,,15,,29,29,51,51,,,95,
,ENGL,,1,,2,,3,,3,3,20,20,,,26,
,FREN,,,,,,,,,,,,,,,
,GERM,,,,1,,1,,,,,,,,1,
,HISP,,,,,,,,3,3,4,4,,,7,
,HIST,1,,1,,,2,,2,2,2,2,,,6,
,INTS,,2,2,3,,7,,,,,,,,7,
,MODL,,,,,,,,1,1,,,,,1,
,MUSC,,,,,,,,,,,,,,,
,NRSC,,,,,,,,1,1,,,,,1,
,NUTR,,,,,,,,,,,,,,,
,PERF,,,,,,,,1,1,,,,,1,
,PHIL,,,1,,,1,,1,1,,,,,2,
,POLS,1,,,1,,2,,,,10,10,,,12,
,PSYC,1,1,1,3,,6,,1,1,5,5,,,12,
,RUSS,,,,,,,,,,,,,,,
,SOCI,,1,,2,,3,,1,1,7,7,,,11,
,SPAN,,,,,,,,,,,,,,,
,TCMS,,,1,,,1,,,,,,,,1,
,THAR,,,,,,,,,,,,,,,
,USLA,,,,,,,,,,,,,,,
,WGST,,,,,,,,,,,,,,,
,Subtotal,4,6,9,24,,43,,49,49,118,118,,,210,
"Prepared by OISP, 29 Mar 11",,,,,,,,,,,,,,,,
