Ethnicity 2 or More/Excluding Black (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity Spring 2011,,,,,,,,,,,,,,,,
Spring 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Science,APHY,,,,,,,,,,1,1,,,1,
,APMS,,1,1,1,,3,,,,,,,,3,
,BIOL,7,5,7,11,,30,,1,1,,,,,31,
,BMCB,1,,3,1,,5,,,,,,,,5,
,BOTN,,,,,,,,,,,,,,,
,CHEM,2,1,1,2,,6,,,,1,1,,,7,
,GENE,,,,,,,,,,,,,,,
,MATH,2,,4,1,,7,,,,1,1,,,8,
,MBIO,,,2,,,2,,,,,,,,2,
,MEPS,,,,,,,,,,,,,,,
,MSEN,,,,,,,,,,,,,,,
,PHYS,,,1,2,,3,,,,2,2,,,5,
,STAT,,,,,,,,1,1,,,,,1,
,USSC,,,,,,,,,,,,,,,
,ZOOL,,1,,1,,2,,,,,,,,2,
,Subtotal,12,8,19,19,,58,,2,2,5,5,,,65,
Veterinary Medicine,BIMS,13,4,6,2,,25,,1,1,,,,,26,
,GENE,,,,,,,,,,,,,,,
,LAMD,,,,,,,,,,,,,,,
,STJR,,,,,,,,,,,,,,,
,TOXI,,,,,,,,,,,,,,,
,USVM,,,,,,,,,,,,,,,
,VMSC,,,,,,,,,,,,,,,
,VPAT,,,,,,,,,,,,,,,
,VPHY,,,,,,,,,,,,,,,
,VTMD,,,,,,,,,,,,1,1,1,
,VTMI,,,,,,,,,,,,,,,
,VTMS,,,,,,,,,,,,,,,
,Subtotal,13,4,6,2,,25,,1,1,,,1,1,27,
General Studies,GEST,31,28,3,,,62,,,,,,,,62,
,TEAM,14,1,,,,15,,,,,,,,15,
,Subtotal,45,29,3,,,77,,,,,,,,77,
Other - Special Populations,MARB,,,,,,,,,,,,,,,
,MARM,,,,,,,,,,,,,,,
,MDSC,,,,,,,1,,1,,,,,1,
,OCRE,,,,,,,,,,,,,,,
,PHLT,,,,,,,,,,,,,,,
,REEP,,,,,,,,,,,,,,,
,Subtotal,,,,,,,1,,1,,,,,1,
University,Total,155,131,139,186,3,614,5,42,47,25,25,1,1,687,
"Prepared by OISP, 29 Mar 11",,,,,,,,,,,,,,,,
