College Other - Special Populations,,,,,,,,,,,,
Texas A&M University Student Enrollment Summary Student Head Count by Level by College,,,,,,,,,,,,
Spring 2011,,,,,,,,,,,,
Spring 2011,,Student Level,,,,,,,,,,
,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,%,#,%,#,%,#,%,#,%,
Gender,Total,55,100.0%,34,100.0%,,,,,89,100.0%,
,Female,31,56.4%,21,61.8%,,,,,52,58.4%,
,Male,24,43.6%,13,38.2%,,,,,37,41.6%,
Ethnicity,White Only (NEW),2,3.6%,13,38.2%,,,,,15,16.9%,
,Black Only + 2 or more/1 Black (NEW),,,,,,,,,,,
,Hispanic or Latino of any Race (NEW),,,4,11.8%,,,,,4,4.5%,
,Asian Only (NEW),,,,,,,,,,,
,Native Hawaii Only (New),,,,,,,,,,,
,American Indian Only (NEW),,,,,,,,,,,
,International,52,94.5%,13,38.2%,,,,,65,73.0%,
,2 or More/Excluding Black (NEW),,,1,2.9%,,,,,1,1.1%,
,Unknown or Not Reported,1,1.8%,3,8.8%,,,,,4,4.5%,
,Total,55,100.0%,34,100.0%,,,,,89,100.0%,
TAMU Age Categories,<18,,,,,,,,,,,
,18-21,22,40.0%,1,2.9%,,,,,23,25.8%,
,22-25,30,54.5%,18,52.9%,,,,,48,53.9%,
,26-30,3,5.5%,8,23.5%,,,,,11,12.4%,
,31-39,,,4,11.8%,,,,,4,4.5%,
,40+,,,3,8.8%,,,,,3,3.4%,
Enrollment Status,1st Time in College,,,,,,,,,,,
,1st Time PB,,,11,32.4%,,,,,11,12.4%,
,1st Time Graduate,,,,,,,,,,,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,,,,,,,,,,,
,Readmitted,,,,,,,,,,,
,Continuing,55,100.0%,23,67.6%,,,,,78,87.6%,
Tuition Status,Resident Tuition,1,1.8%,17,50.0%,,,,,18,20.2%,
,Non-Resident Tuition,54,98.2%,14,41.2%,,,,,68,76.4%,
,Tuition Exemption/Waiver,,,3,8.8%,,,,,3,3.4%,
Residency Status,Texas Resident,2,3.6%,18,52.9%,,,,,20,22.5%,
,"Non-TX, US Resident",1,1.8%,3,8.8%,,,,,4,4.5%,
,"Non-TX, Non-US Resident",52,94.5%,13,38.2%,,,,,65,73.0%,
SCH Categories,< 6 SCH,,,14,41.2%,,,,,14,15.7%,
,6-8 SCH,1,1.8%,5,14.7%,,,,,6,6.7%,
,9-11 SCH,,,8,23.5%,,,,,8,9.0%,
,12-14 SCH,28,50.9%,6,17.6%,,,,,34,38.2%,
,15-17 SCH,23,41.8%,1,2.9%,,,,,24,27.0%,
,>17 SCH,3,5.5%,,,,,,,3,3.4%,
Ft/Pt: TAMU Status,Less Than Half Time,,,12,35.3%,,,,,12,13.5%,
,Half-Time,1,1.8%,8,23.5%,,,,,9,10.1%,
,Full-Time,54,98.2%,14,41.2%,,,,,68,76.4%,
Top 10% Texas High School,No,55,100.0%,34,100.0%,,,,,89,100.0%,
,Yes,,,,,,,,,,,
First Generation,No,,,3,8.8%,,,,,3,3.4%,
,Unknown,55,100.0%,29,85.3%,,,,,84,94.4%,
,Yes,,,2,5.9%,,,,,2,2.2%,
"Prepared by OISP, 3/30/2011",,,,,,,,,,,,
