College Veterinary Medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demographic Summary by College by Ethnicity/Gender First-Time Undergraduate Transfer Students,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spriing 2011,,White Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Asian Only (NEW),,,Native Hawaii Only (New),,,American Indian Only (NEW),,,International,,,2 or More/Excluding Black (NEW),,,Unknown or Not Reported,,,Grand Total,,,
,,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
TAMU Age Categories,18-21,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,22-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,26-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,31-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Classification,Freshman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sophomore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Junior,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,Senior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuition Status,Resident Tuition,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,Non-Resident Tuition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tuition Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residency Status,Texas Resident,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,"Non-TX, US Resident",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Non-TX, Non-US Resident",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCH Categories,< 6 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6-8 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9-11 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12-14 SCH,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,15-17 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,>17 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ft/Pt: TAMU Status,Less Than Half Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Half-Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Full-Time,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
Top 10% Texas High School,No,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First Generation,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
Dorm / Off-campus students,Off-campus,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,Dorm (On-campus),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prepared by OISP, 29 Mar 11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
