Demographic Summary First Generation Students Spring 2011,,,,,,
Spring 2011,,First Generation Undergraduates,,,Grand Total,
,,Unknown,Yes,No,,
Headcount Total,,"1,249","9,591","26,112","36,952",
Gender,Female,456,"4,765","12,375","17,596",
,Male,793,"4,826","13,737","19,356",
Ethnicity,White Only (NEW),413,"5,338","20,912","26,663",
,Black Only + 2 or more/1 Black (NEW),59,546,620,"1,225",
,Hispanic or Latino of any Race (NEW),124,"3,019","2,793","5,936",
,Asian Only (NEW),60,488,"1,136","1,684",
,Native Hawaii Only (New),2,12,34,48,
,American Indian Only (NEW),5,33,99,137,
,International,562,2,19,583,
,2 or More/Excluding Black (NEW),10,137,467,614,
,Unknown or Not Reported,14,16,32,62,
TAMU Age Categories,<18,,,4,4,
,18-21,566,"5,476","15,735","21,777",
,22-25,570,"3,669","9,947","14,186",
,26-30,64,302,305,671,
,31-39,38,102,91,231,
,40+,11,42,30,83,
College,Agriculture,166,"1,637","3,462","5,265",
,Architecture,35,352,943,"1,330",
,Business Admin,93,798,"3,088","3,979",
,Education,69,986,"2,611","3,666",
,Engineering,412,"1,578","5,625","7,615",
,Geosciences,40,180,431,651,
,Liberal Arts,163,"1,769","4,354","6,286",
,Science,70,569,"1,505","2,144",
,Veterinary Medicine,19,360,"1,090","1,469",
,General Studies,127,"1,362","3,003","4,492",
,Other - Special Populations,55,,,55,
Enrollment Status,1st Time in College,17,36,65,118,
,1st Time Transfer,44,286,498,828,
,Readmitted,4,82,188,274,
,Continuing,"1,184","9,187","25,361","35,732",
Tuition Status,Resident Tuition,645,"9,131","24,562","34,338",
,Non-Resident Tuition,388,53,398,839,
,Tuition Exemption/Waiver,216,407,"1,152","1,775",
Residency Status,Texas Resident,671,"9,434","25,162","35,267",
,"Non-TX, US Resident",28,154,925,"1,107",
,"Non-TX, Non-US Resident",550,3,25,578,
SCH Categories,< 6 SCH,34,278,846,"1,158",
,6-8 SCH,42,322,981,"1,345",
,9-11 SCH,51,446,"1,301","1,798",
,12-14 SCH,580,"5,122","13,247","18,949",
,15-17 SCH,475,"3,171","9,051","12,697",
,>17 SCH,67,252,686,"1,005",
Ft/Pt:  TAMU Status,Less Than Half Time,26,270,780,"1,076",
,Half-Time,91,718,"2,061","2,870",
,Full-Time,"1,132","8,603","23,271","33,006",
Top 10% Texas High School,No,"1,066","4,929","16,268","22,263",
,Yes,183,"4,662","9,844","14,689",
"Prepared by OISP, 29 Mar 11",,,,,,
