College Agriculture,,,,,,,,,,,,
Texas A&M University Student Enrollment Summary Student Head Count by Level by College,,,,,,,,,,,,
Spring 2011,,,,,,,,,,,,
Spring 2011,,Student Level,,,,,,,,,,
,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,%,#,%,#,%,#,%,#,%,
Gender,Total,"5,265",100.0%,738,100.0%,615,100.0%,,,"6,618",100.0%,
,Female,"2,733",51.9%,371,50.3%,284,46.2%,,,"3,388",51.2%,
,Male,"2,532",48.1%,367,49.7%,331,53.8%,,,"3,230",48.8%,
Ethnicity,White Only (NEW),"4,078",77.5%,484,65.6%,257,41.8%,,,"4,819",72.8%,
,Black Only + 2 or more/1 Black (NEW),156,3.0%,12,1.6%,31,5.0%,,,199,3.0%,
,Hispanic or Latino of any Race (NEW),740,14.1%,61,8.3%,47,7.6%,,,848,12.8%,
,Asian Only (NEW),132,2.5%,15,2.0%,7,1.1%,,,154,2.3%,
,Native Hawaii Only (New),1,.0%,,,1,.2%,,,2,.0%,
,American Indian Only (NEW),30,.6%,4,.5%,1,.2%,,,35,.5%,
,International,42,.8%,153,20.7%,266,43.3%,,,461,7.0%,
,2 or More/Excluding Black (NEW),78,1.5%,5,.7%,,,,,83,1.3%,
,Unknown or Not Reported,8,.2%,4,.5%,5,.8%,,,17,.3%,
,Total,"5,265",100.0%,738,100.0%,615,100.0%,,,"6,618",100.0%,
TAMU Age Categories,<18,,,,,,,,,,,
,18-21,"2,317",44.0%,,,1,.2%,,,"2,318",35.0%,
,22-25,"2,681",50.9%,365,49.5%,40,6.5%,,,"3,086",46.6%,
,26-30,191,3.6%,248,33.6%,242,39.3%,,,681,10.3%,
,31-39,62,1.2%,80,10.8%,255,41.5%,,,397,6.0%,
,40+,14,.3%,45,6.1%,77,12.5%,,,136,2.1%,
Enrollment Status,1st Time in College,15,.3%,,,,,,,15,.2%,
,1st Time PB,,,12,1.6%,,,,,12,.2%,
,1st Time Graduate,,,60,8.1%,95,15.4%,,,155,2.3%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,247,4.7%,,,,,,,247,3.7%,
,Readmitted,73,1.4%,4,.5%,2,.3%,,,79,1.2%,
,Continuing,"4,930",93.6%,662,89.7%,518,84.2%,,,"6,110",92.3%,
Tuition Status,Resident Tuition,"4,884",92.8%,449,60.8%,231,37.6%,,,"5,564",84.1%,
,Non-Resident Tuition,113,2.1%,74,10.0%,61,9.9%,,,248,3.7%,
,Tuition Exemption/Waiver,268,5.1%,215,29.1%,323,52.5%,,,806,12.2%,
Residency Status,Texas Resident,"5,021",95.4%,472,64.0%,241,39.2%,,,"5,734",86.6%,
,"Non-TX, US Resident",199,3.8%,114,15.4%,107,17.4%,,,420,6.3%,
,"Non-TX, Non-US Resident",45,.9%,152,20.6%,267,43.4%,,,464,7.0%,
SCH Categories,< 6 SCH,98,1.9%,126,17.1%,109,17.7%,,,333,5.0%,
,6-8 SCH,207,3.9%,65,8.8%,21,3.4%,,,293,4.4%,
,9-11 SCH,299,5.7%,492,66.7%,469,76.3%,,,"1,260",19.0%,
,12-14 SCH,"2,746",52.2%,53,7.2%,13,2.1%,,,"2,812",42.5%,
,15-17 SCH,"1,768",33.6%,2,.3%,2,.3%,,,"1,772",26.8%,
,>17 SCH,147,2.8%,,,1,.2%,,,148,2.2%,
Ft/Pt: TAMU Status,Less Than Half Time,92,1.7%,94,12.7%,78,12.7%,,,264,4.0%,
,Half-Time,506,9.6%,102,13.8%,49,8.0%,,,657,9.9%,
,Full-Time,"4,667",88.6%,542,73.4%,488,79.3%,,,"5,697",86.1%,
Top 10% Texas High School,No,"3,620",68.8%,703,95.3%,592,96.3%,,,"4,915",74.3%,
,Yes,"1,645",31.2%,35,4.7%,23,3.7%,,,"1,703",25.7%,
First Generation,No,"3,462",65.8%,458,62.1%,328,53.3%,,,"4,248",64.2%,
,Unknown,166,3.2%,37,5.0%,84,13.7%,,,287,4.3%,
,Yes,"1,637",31.1%,243,32.9%,203,33.0%,,,"2,083",31.5%,
"Prepared by OISP, 3/30/2011",,,,,,,,,,,,
