Headcount by Department by Level by Entry Status Spring 2011,,,,,,,,,,,,,,,,
Spring 2011,,Undergraduate,,,,Masters,,,,PhD,,,Professional,,Total,
,,1st Time in College,1st Time Transfer,Readmitted,Continuing,1st Time PB,1st Time Graduate,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,Readmitted,Continuing,,
Education,CLED,,,,3,,,,,,,,,,3,
,EAHR,,13,6,356,3,24,,124,16,3,241,,,786,
,EPSY,,11,,250,,8,1,115,14,,141,,,540,
,HLKN,3,22,10,"1,714",1,10,,88,11,1,60,,,"1,920",
,TLAC,2,38,6,"1,232",8,42,4,178,12,,197,,,"1,719",
,Subtotal,5,84,22,"3,555",12,84,5,505,53,4,639,,,"4,968",
Engineering,AERO,6,4,2,589,,9,,58,14,,61,,,743,
,BMEN,2,4,,396,1,3,,32,11,,38,,,487,
,CHEN,5,,3,680,1,4,,46,13,,77,,,829,
,CLEN,,,,2,,,,,1,,8,,,11,
,CSCE,3,13,4,618,,5,,190,14,,113,,,960,
,CVEN,1,8,3,976,1,30,,200,31,,131,,,"1,381",
,ECEN,3,19,2,777,,12,,239,31,,224,,,"1,307",
,ETID,,18,13,838,,,,24,,,,,,893,
,ISEN,4,12,6,608,,15,1,170,3,,57,,,876,
,MEEN,3,12,2,"1,039",4,17,,176,44,1,193,,,"1,491",
,NUEN,,3,,301,,2,,75,7,,42,,,430,
,PETE,2,11,2,621,,19,,163,17,1,86,,,922,
,Subtotal,29,104,37,"7,445",7,116,1,"1,373",186,2,"1,030",,,"10,330",
G. Bush School of Govt,BUSH,,,,,48,,,263,,,,,,311,
,Subtotal,,,,,48,,,263,,,,,,311,
Geosciences,ATMO,,4,,116,,2,,29,2,,21,,,174,
,CLGE,,,,124,,,,,,,,,,124,
,GEOG,,7,1,192,1,5,,30,5,,36,,,277,
,GEPL,,5,3,199,1,4,,72,10,1,34,,,329,
,OCNG,,,,,,1,,32,7,,45,,,85,
,Subtotal,,16,4,631,2,12,,163,24,1,136,,,989,
Liberal Arts,ANTH,1,7,4,160,1,1,,57,5,,54,,,290,
,CLLA,,12,3,635,,,,,,,,,,650,
,COMM,2,36,3,856,,,,13,2,,42,,,954,
,ECON,2,36,6,460,,,,37,12,,47,,,600,
,ENGL,3,15,11,654,,,,18,3,,75,,,779,
,EURO,,2,,51,,,,,,,,,,53,
,HISP,,3,2,83,,1,,18,1,,22,,,130,
,HIST,2,27,7,652,,,,16,10,,42,,,756,
,PHUM,,1,,78,,,1,15,1,,9,,,105,
,POLS,4,26,10,675,,,,4,14,,28,,,761,
,PRFM,,1,,70,,,,6,,,,,,77,
,PSYC,3,46,10,"1,211",1,,,34,15,,50,,,"1,370",
,SOCI,,12,4,400,1,,,31,9,,60,,,517,
,Subtotal,17,224,60,"5,985",3,2,1,249,72,,429,,,"7,042",
"Prepared by OISP, 29 Mar 11",,,,,,,,,,,,,,,,
