Ethnicity Hispanic or Latino of any Race (NEW),,,,,,,,,,,,,,,,
Headcount by Department by Classification by Ethnicity Spring 2011,,,,,,,,,,,,,,,,
Spring 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Geosciences,ATMO,4,4,4,9,1,22,,1,1,,,,,23,
,CLGE,1,3,2,9,,15,,,,,,,,15,
,GEOG,3,7,8,11,,29,,3,3,1,1,,,33,
,GEPL,7,4,7,11,,29,,4,4,1,1,,,34,
,OCNG,,,,,,,,3,3,,,,,3,
,Subtotal,15,18,21,40,1,95,,11,11,2,2,,,108,
Liberal Arts,ANTH,7,8,11,9,,35,,3,3,3,3,,,41,
,CLLA,8,37,43,76,1,165,,,,,,,,165,
,COMM,10,30,35,34,,109,,1,1,6,6,,,116,
,ECON,2,15,17,39,,73,,1,1,,,,,74,
,ENGL,11,25,35,44,,115,,,,11,11,,,126,
,EURO,,4,1,1,,6,,,,,,,,6,
,HISP,1,7,9,24,,41,1,8,9,11,11,,,61,
,HIST,7,17,24,45,,93,,2,2,5,5,,,100,
,PHUM,1,1,4,5,,11,,2,2,2,2,,,15,
,POLS,12,24,26,48,1,111,,,,3,3,,,114,
,PRFM,4,3,1,12,,20,,,,,,,,20,
,PSYC,22,37,98,111,,268,,4,4,11,11,,,283,
,SOCI,4,10,42,41,,97,,13,13,20,20,,,130,
,Subtotal,89,218,346,489,2,"1,144",1,34,35,72,72,,,"1,251",
Science,BIOL,69,68,77,94,,308,,2,2,2,2,,,312,
,CHEM,11,8,5,15,1,40,,4,4,12,12,,,56,
,CLSC,,,,2,,2,,,,,,,,2,
,MATH,15,8,11,16,,50,,6,6,1,1,,,57,
,PHYS,12,5,4,5,,26,,4,4,8,8,,,38,
,STAT,,,,,,,1,3,4,1,1,,,5,
,Subtotal,107,89,97,132,1,426,1,19,20,24,24,,,470,
Veterinary Medicine,CLVM,73,71,54,71,,269,,,,,,50,50,319,
,VIBS,,,,,,,,2,2,,,,,2,
,VLCS,,,,,,,,,,,,,,,
,VSCS,,,,,,,,,,1,1,,,1,
,VTPB,,,,,,,,1,1,1,1,,,2,
,VTPP,,,,,,,,,,,,,,,
,Subtotal,73,71,54,71,,269,,3,3,2,2,50,50,324,
General Studies,GEST,397,401,59,,,857,,,,,,,,857,
,Subtotal,397,401,59,,,857,,,,,,,,857,
Other - Special Populations,CLMD,,,,,,,,,,,,,,,
,MARB,,,,,,,,1,1,,,,,1,
,MARS,,,,,,,,,,,,,,,
,SABX,,,,,,,,,,,,,,,
,SRPH,,,,,,,3,,3,,,,,3,
,Subtotal,,,,,,,3,1,4,,,,,4,
University,Total,"1,167","1,359","1,334","2,061",15,"5,936",25,399,424,309,309,50,50,"6,719",
"Prepared by OISP, 29 Mar 11",,,,,,,,,,,,,,,,
