Ethnicity American Indian Only (NEW),,,,,,,,,,,,,,,,
Headcount by Department by Classification by Ethnicity Spring 2011,,,,,,,,,,,,,,,,
Spring 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Geosciences,ATMO,,,,,,,,,,,,,,,
,CLGE,,,1,,,1,,,,,,,,1,
,GEOG,,1,,,,1,,,,,,,,1,
,GEPL,,,,,,,,,,,,,,,
,OCNG,,,,,,,,,,,,,,,
,Subtotal,,1,1,,,2,,,,,,,,2,
Liberal Arts,ANTH,,1,,,,1,,,,,,,,1,
,CLLA,,,1,,,1,,,,,,,,1,
,COMM,1,2,1,1,,5,,,,,,,,5,
,ECON,1,,1,,,2,,,,,,,,2,
,ENGL,,,2,3,,5,,,,,,,,5,
,EURO,,,,,,,,,,,,,,,
,HISP,,,,,,,,,,,,,,,
,HIST,,,,2,,2,,,,,,,,2,
,PHUM,,,1,,,1,,,,1,1,,,2,
,POLS,,1,1,,,2,,,,,,,,2,
,PRFM,,,,,,,,,,,,,,,
,PSYC,,,2,2,,4,,,,,,,,4,
,SOCI,,1,1,1,,3,,,,1,1,,,4,
,Subtotal,2,5,10,9,,26,,,,2,2,,,28,
Science,BIOL,3,1,2,2,,8,,,,,,,,8,
,CHEM,,1,,,,1,,,,1,1,,,2,
,CLSC,,,,,,,,,,,,,,,
,MATH,,,,1,,1,,,,,,,,1,
,PHYS,,,,,,,,,,1,1,,,1,
,STAT,,,,,,,1,,1,,,,,1,
,Subtotal,3,2,2,3,,10,1,,1,2,2,,,13,
Veterinary Medicine,CLVM,2,2,2,1,,7,,,,,,1,1,8,
,VIBS,,,,,,,,,,,,,,,
,VLCS,,,,,,,,,,,,,,,
,VSCS,,,,,,,,,,,,,,,
,VTPB,,,,,,,,,,,,,,,
,VTPP,,,,,,,,,,,,,,,
,Subtotal,2,2,2,1,,7,,,,,,1,1,8,
General Studies,GEST,3,7,,,,10,,,,,,,,10,
,Subtotal,3,7,,,,10,,,,,,,,10,
Other - Special Populations,CLMD,,,,,,,,,,,,,,,
,MARB,,,,,,,,,,,,,,,
,MARS,,,,,,,,,,,,,,,
,SABX,,,,,,,,,,,,,,,
,SRPH,,,,,,,,,,,,,,,
,Subtotal,,,,,,,,,,,,,,,
University,Total,13,32,35,57,,137,2,9,11,11,11,1,1,160,
"Prepared by OISP, 29 Mar 11",,,,,,,,,,,,,,,,
