Ethnicity International,,,,,,,,,,,,,,,,
Headcount by Department by Classification by Ethnicity Spring 2011,,,,,,,,,,,,,,,,
Spring 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Geosciences,ATMO,,,,,,,,5,5,15,15,,,20,
,CLGE,,,,,,,,,,,,,,,
,GEOG,,,,2,,2,,5,5,17,17,,,24,
,GEPL,4,3,3,9,,19,2,17,19,30,30,,,68,
,OCNG,,,,,,,,6,6,28,28,,,34,
,Subtotal,4,3,3,11,,21,2,33,35,90,90,,,146,
Liberal Arts,ANTH,,,,1,,1,,4,4,9,9,,,14,
,CLLA,,2,2,3,,7,,,,,,,,7,
,COMM,,,1,1,,2,,2,2,10,10,,,14,
,ECON,1,1,3,10,,15,,29,29,51,51,,,95,
,ENGL,,1,,2,,3,,3,3,20,20,,,26,
,EURO,,,,1,,1,,,,,,,,1,
,HISP,,,,,,,,4,4,4,4,,,8,
,HIST,1,,1,,,2,,2,2,2,2,,,6,
,PHUM,,,1,,,1,,1,1,,,,,2,
,POLS,1,,,1,,2,,,,10,10,,,12,
,PRFM,,,,,,,,1,1,,,,,1,
,PSYC,1,1,1,3,,6,,2,2,5,5,,,13,
,SOCI,,1,,2,,3,,1,1,7,7,,,11,
,Subtotal,4,6,9,24,,43,,49,49,118,118,,,210,
Science,BIOL,4,,1,4,,9,,12,12,32,32,,,53,
,CHEM,,,2,2,,4,,34,34,100,100,,,138,
,CLSC,,,,,,,,,,,,,,,
,MATH,3,1,1,4,,9,1,17,18,53,53,,,80,
,PHYS,,,5,1,,6,,28,28,55,55,,,89,
,STAT,,,,,,,,10,10,47,47,,,57,
,Subtotal,7,1,9,11,,28,1,101,102,287,287,,,417,
Veterinary Medicine,CLVM,2,1,1,,,4,,3,3,2,2,,,9,
,VIBS,,,,,,,1,5,6,12,12,,,18,
,VLCS,,,,,,,,1,1,,,,,1,
,VSCS,,,,,,,,,,5,5,,,5,
,VTPB,,,,,,,1,1,2,6,6,,,8,
,VTPP,,,,,,,,4,4,6,6,,,10,
,Subtotal,2,1,1,,,4,2,14,16,31,31,,,51,
General Studies,GEST,30,11,,,,41,,,,,,,,41,
,Subtotal,30,11,,,,41,,,,,,,,41,
Other - Special Populations,CLMD,,,,,,,,,,,,,,,
,MARB,,,,,,,,1,1,,,,,1,
,MARS,,,,,,,,,,,,,,,
,SABX,,15,28,9,,52,11,,11,,,,,63,
,SRPH,,,,,,,1,,1,,,,,1,
,Subtotal,,15,28,9,,52,12,1,13,,,,,65,
University,Total,79,77,164,262,1,583,26,"1,507","1,533","1,860","1,860",,,"3,976",
"Prepared by OISP, 29 Mar 11",,,,,,,,,,,,,,,,
