Ethnicity Unknown or Not Reported,,,,,,,,,,,,,,,,
Headcount by Department by Classification by Ethnicity Spring 2011,,,,,,,,,,,,,,,,
Spring 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Agriculture,AGEC,,,1,,,1,,,,,,,,1,
,ALEC,1,,,,,1,,,,1,1,,,2,
,ANSC,,,1,,,1,,,,,,,,1,
,BAEN,,1,,,,1,,,,,,,,1,
,BCBP,,,1,,,1,,,,2,2,,,3,
,CLAG,,,,,,,,,,,,,,,
,ENTO,,,,,,,,,,1,1,,,1,
,ESSM,,,1,,,1,,,,,,,,1,
,HRSC,,,,,,,,,,,,,,,
,NFSC,,,,,,,,,,,,,,,
,PLPM,,,,,,,1,,1,1,1,,,2,
,POSC,,,,,,,,,,,,,,,
,RPTS,,,,1,,1,,,,,,,,1,
,SCSC,,,,,,,,2,2,,,,,2,
,WFSC,,1,,,,1,,1,1,,,,,2,
,Subtotal,1,2,4,1,,8,1,3,4,5,5,,,17,
Architecture,ARCH,,,,,,,1,1,2,,,,,2,
,CLAR,,,,,,,,,,,,,,,
,COSC,,,,1,,1,,,,,,,,1,
,LAUP,,,,,,,,1,1,,,,,1,
,VIZA,,,,,,,,,,,,,,,
,Subtotal,,,,1,,1,1,2,3,,,,,4,
Business Admin,ACCT,,,,,,,,,,1,1,,,1,
,CLBA,1,,,,,1,,4,4,,,,,5,
,FINC,,,,1,,1,,,,,,,,1,
,INFO,,,,,,,,,,,,,,,
,MGMT,,,,,,,,,,,,,,,
,MKTG,,,,,,,,,,,,,,,
,Subtotal,1,,,1,,2,,4,4,1,1,,,7,
Education,CLED,,,,,,,,,,,,,,,
,EAHR,,,,1,,1,,,,3,3,,,4,
,EPSY,,,,,,,,1,1,1,1,,,2,
,HLKN,1,,,,,1,,,,1,1,,,2,
,TLAC,,,1,,,1,,,,2,2,,,3,
,Subtotal,1,,1,1,,3,,1,1,7,7,,,11,
Engineering,AERO,,1,,,,1,,,,1,1,,,2,
,BMEN,,1,,,,1,,,,,,,,1,
,CHEN,1,1,,,,2,,1,1,,,,,3,
,CLEN,,,,,,,,,,,,,,,
,CSCE,1,,,,,1,,2,2,,,,,3,
,CVEN,1,,1,,,2,,1,1,,,,,3,
,ECEN,1,1,,,,2,,,,1,1,,,3,
,ETID,,,,,,,,,,,,,,,
,ISEN,,1,,2,,3,,,,,,,,3,
,MEEN,,,,,,,,,,,,,,,
,NUEN,,,,2,,2,,,,,,,,2,
,PETE,1,,,,,1,,5,5,,,,,6,
,Subtotal,5,5,1,4,,15,,9,9,2,2,,,26,
G. Bush School of Govt,BUSH,,,,,,,2,,2,,,,,2,
,Subtotal,,,,,,,2,,2,,,,,2,
"Prepared by OISP, 29 Mar 11",,,,,,,,,,,,,,,,
