Headcount by Major by Level Spring 2011,,,,,,,
Spring 2011,,Undergraduate,Masters,PhD,Professional,Total,
Agriculture,ABME,,,1,,1,
,ADEV,,25,,,25,
,AGBL,149,,,,149,
,AGBU,146,39,,,185,
,AGCJ,204,,,,204,
,AGEC,436,55,75,,566,
,AGLS,61,,,,61,
,AGRO,140,20,11,,171,
,AGSC,122,,,,122,
,AGSM,145,2,,,147,
,ALEC,,75,58,,133,
,ALED,426,,,,426,
,ANBR,,5,4,,9,
,ANSC,709,66,18,,793,
,BAEN,162,40,38,,240,
,BESC,210,,,,210,
,BICH,169,37,66,,272,
,BIOT,,19,,,19,
,CDEV,26,,,,26,
,DASC,1,,,,1,
,ECOR,17,,,,17,
,ENST,18,,,,18,
,ENTO,69,17,33,,119,
,FISC,,5,,,5,
,FIVL,41,,,,41,
,FIVS,18,,,,18,
,FLOR,4,,,,4,
,FORS,20,12,6,,38,
,FSTC,119,21,19,,159,
,GENE,85,18,23,,126,
,HORT,177,17,17,,211,
,MEPS,,4,15,,19,
,NRDV,,22,,,22,
,NUSC,406,,,,406,
,NUTR,,31,21,,52,
,PLBR,,18,29,,47,
,PLPA,,13,20,,33,
,POSC,165,12,10,,187,
,PPRO,,3,,,3,
"Prepared by OISP, 29 Mar 11",,,,,,,
