College Education,,,,,,,,,,,,
Texas A&M University Student Enrollment Summary Student Head Count by Level by College,,,,,,,,,,,,
Spring 2011,,,,,,,,,,,,
Spring 2011,,Student Level,,,,,,,,,,
,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,%,#,%,#,%,#,%,#,%,
Gender,Total,"3,666",100.0%,606,100.0%,696,100.0%,,,"4,968",100.0%,
,Female,"2,832",77.3%,446,73.6%,456,65.5%,,,"3,734",75.2%,
,Male,834,22.7%,160,26.4%,240,34.5%,,,"1,234",24.8%,
Ethnicity,White Only (NEW),"2,934",80.0%,400,66.0%,320,46.0%,,,"3,654",73.6%,
,Black Only + 2 or more/1 Black (NEW),97,2.6%,43,7.1%,126,18.1%,,,266,5.4%,
,Hispanic or Latino of any Race (NEW),491,13.4%,73,12.0%,119,17.1%,,,683,13.7%,
,Asian Only (NEW),75,2.0%,14,2.3%,25,3.6%,,,114,2.3%,
,Native Hawaii Only (New),1,.0%,,,,,,,1,.0%,
,American Indian Only (NEW),10,.3%,1,.2%,4,.6%,,,15,.3%,
,International,11,.3%,71,11.7%,83,11.9%,,,165,3.3%,
,2 or More/Excluding Black (NEW),44,1.2%,3,.5%,12,1.7%,,,59,1.2%,
,Unknown or Not Reported,3,.1%,1,.2%,7,1.0%,,,11,.2%,
,Total,"3,666",100.0%,606,100.0%,696,100.0%,,,"4,968",100.0%,
TAMU Age Categories,<18,,,,,,,,,,,
,18-21,"1,846",50.4%,1,.2%,,,,,"1,847",37.2%,
,22-25,"1,727",47.1%,305,50.3%,16,2.3%,,,"2,048",41.2%,
,26-30,53,1.4%,155,25.6%,153,22.0%,,,361,7.3%,
,31-39,21,.6%,88,14.5%,246,35.3%,,,355,7.1%,
,40+,19,.5%,57,9.4%,281,40.4%,,,357,7.2%,
Enrollment Status,1st Time in College,5,.1%,,,,,,,5,.1%,
,1st Time PB,,,12,2.0%,,,,,12,.2%,
,1st Time Graduate,,,84,13.9%,53,7.6%,,,137,2.8%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,84,2.3%,,,,,,,84,1.7%,
,Readmitted,22,.6%,5,.8%,4,.6%,,,31,.6%,
,Continuing,"3,555",97.0%,505,83.3%,639,91.8%,,,"4,699",94.6%,
Tuition Status,Resident Tuition,"3,523",96.1%,472,77.9%,527,75.7%,,,"4,522",91.0%,
,Non-Resident Tuition,45,1.2%,60,9.9%,38,5.5%,,,143,2.9%,
,Tuition Exemption/Waiver,98,2.7%,74,12.2%,131,18.8%,,,303,6.1%,
Residency Status,Texas Resident,"3,597",98.1%,489,80.7%,545,78.3%,,,"4,631",93.2%,
,"Non-TX, US Resident",58,1.6%,45,7.4%,68,9.8%,,,171,3.4%,
,"Non-TX, Non-US Resident",11,.3%,72,11.9%,83,11.9%,,,166,3.3%,
SCH Categories,< 6 SCH,31,.8%,96,15.8%,271,38.9%,,,398,8.0%,
,6-8 SCH,328,8.9%,203,33.5%,135,19.4%,,,666,13.4%,
,9-11 SCH,168,4.6%,233,38.4%,265,38.1%,,,666,13.4%,
,12-14 SCH,"1,697",46.3%,64,10.6%,21,3.0%,,,"1,782",35.9%,
,15-17 SCH,"1,284",35.0%,10,1.7%,4,.6%,,,"1,298",26.1%,
,>17 SCH,158,4.3%,,,,,,,158,3.2%,
Ft/Pt: TAMU Status,Less Than Half Time,31,.8%,76,12.5%,195,28.0%,,,302,6.1%,
,Half-Time,247,6.7%,226,37.3%,201,28.9%,,,674,13.6%,
,Full-Time,"3,388",92.4%,304,50.2%,300,43.1%,,,"3,992",80.4%,
Top 10% Texas High School,No,"2,231",60.9%,573,94.6%,648,93.1%,,,"3,452",69.5%,
,Yes,"1,435",39.1%,33,5.4%,48,6.9%,,,"1,516",30.5%,
First Generation,No,"2,611",71.2%,353,58.3%,289,41.5%,,,"3,253",65.5%,
,Unknown,69,1.9%,29,4.8%,187,26.9%,,,285,5.7%,
,Yes,986,26.9%,224,37.0%,220,31.6%,,,"1,430",28.8%,
"Prepared by OISP, 3/30/2011",,,,,,,,,,,,
