Headcount by Major by Level by Entry Status Spring 2011,,,,,,,,,,,,,,,,
Spring 2011,,Undergraduate,,,,Masters,,,,PhD,,,Professional,,Total,
,,1st Time in College,1st Time Transfer,Readmitted,Continuing,1st Time PB,1st Time Graduate,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,Readmitted,Continuing,,
Agriculture,HORT,,8,8,161,,2,,15,2,,15,,,211,
,MEPS,,,,,,,,4,1,,14,,,19,
,NRDV,,,,,,4,,18,,,,,,22,
,NUSC,1,24,5,376,,,,,,,,,,406,
,NUTR,,,,,,2,,29,3,,18,,,52,
,PLBR,,,,,,2,,16,10,,19,,,47,
,PLPA,,,,,1,,,12,3,,17,,,33,
,POSC,,9,4,152,,3,,9,2,,8,,,187,
,PPRO,,,,,,1,,2,,,,,,3,
,PREP,,,,,,,,11,,,10,,,21,
,PSSC,,,,6,,,,,,,,,,6,
,RENR,,9,,39,,,,,,,,,,48,
,RLEM,,5,2,48,,2,,24,4,,23,,,108,
,RPTS,,25,6,307,1,3,,26,5,,29,,,402,
,RRDV,,,,,,,1,1,,,,,,2,
,SOSC,,,,,,1,,13,1,,15,,,30,
,SPSA,,1,,35,,,,,,,,,,36,
,TOXI,,,,,,,,,,,1,,,1,
,USAL,,,,148,,,,,,,,,,148,
,WFSC,1,18,3,367,2,2,1,49,5,1,54,,,503,
,WISC,,,,,,3,,10,,,,,,13,
,WMHS,,,,,,,,12,,,3,,,15,
,Subtotal,15,247,73,"4,930",12,60,4,662,95,2,518,,,"6,618",
Architecture,ARCH,,,,,2,,,107,5,,46,,,160,
,COMG,,,,,,,1,33,,,,,,34,
,COSC,,,5,365,,,,,,,,,,370,
,COSL,2,17,2,195,,,,,,,,,,216,
,ENDL,1,3,2,164,,,,,,,,,,170,
,ENDS,,,1,176,,,,,,,,,,177,
,LAND,,,,81,,,,33,,,,,,114,
,LANL,,3,,36,,,,,,,,,,39,
,LDEV,,,,,,3,,33,,,,,,36,
,URPL,,,,,1,1,,45,,,,,,47,
,URSC,,3,,70,,,,1,6,,47,,,127,
,USAR,,,,42,,,,,,,,,,42,
,VISL,1,1,,117,,,,,,,,,,119,
,VIST,,,,43,,,1,70,,,,,,114,
,Subtotal,4,27,10,"1,289",3,4,2,322,11,,93,,,"1,765",
"Prepared by OISP, 29 Mar 11",,,,,,,,,,,,,,,,
