Headcount by Major by Level by Entry Status Spring 2011,,,,,,,,,,,,,,,,
Spring 2011,,Undergraduate,,,,Masters,,,,PhD,,,Professional,,Total,
,,1st Time in College,1st Time Transfer,Readmitted,Continuing,1st Time PB,1st Time Graduate,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,Readmitted,Continuing,,
Business Admin,ACCT,,,,653,1,30,,112,1,,17,,,814,
,AGBU,,,,7,,,,,,,,,,7,
,BHNR,,,,123,,,,,,,,,,123,
,BUAD,11,,3,"1,397",,,1,67,,,,,,"1,479",
,BUAG,,,,4,,,,,,,,,,4,
,EMBA,,,,,,,,94,,,,,,94,
,FINC,,,1,532,,26,,81,1,,13,,,654,
,INFO,,,1,395,,,,,,,4,,,400,
,MGMT,,,3,273,,1,,28,,,17,,,322,
,MISY,,,,,,6,,123,,,,,,129,
,MKTG,,,,428,,4,,34,,,8,,,474,
,MLER,,,,,,10,,32,,,,,,42,
,USBU,,,,148,,,,,,,,,,148,
,Subtotal,11,,8,"3,960",1,77,1,571,2,,59,,,"4,690",
Education,BIED,,,,,,1,,10,,,,,,11,
,CPSY,,,,,,,,4,5,,30,,,39,
,EDAD,,,,,3,3,,63,7,2,163,,,241,
,EDCI,,,,,8,42,4,178,12,,197,,,441,
,EDHL,,9,,321,,,,,,,,,,330,
,EDIS,2,49,6,613,,,,,,,,,,670,
,EDKI,2,8,5,501,,,,,,,,,,516,
,EDSM,1,4,1,143,,,,,,,,,,149,
,EDTC,,,,,,2,1,27,,,,,,30,
,EHRD,,,,,,21,,61,9,1,78,,,170,
,EPSY,,,,,,3,,53,4,,76,,,136,
,HEED,,,,,,,,18,2,,20,,,40,
,HLTH,,,,303,,,,,,,,,,303,
,HRDL,,10,1,110,,,,,,,,,,121,
,HRDV,,,2,149,,,,,,,,,,151,
,INST,,,,868,,,,,,,,,,868,
,ISNC,,,,1,,,,,,,,,,1,
,KINE,,,2,244,,2,,34,9,1,40,,,332,
,NUTR,,,,,,,,2,,,,,,2,
,PHED,,,,,,,,1,,,,,,1,
,SPED,,,,,,2,,16,,,,,,18,
,SPMT,,1,2,202,1,8,,33,,,,,,247,
,SPSY,,,,,,,,5,5,,35,,,45,
,TCMG,,,,46,,,,,,,,,,46,
,TCML,,3,3,50,,,,,,,,,,56,
,TECR,,,,1,,,,,,,,,,1,
,USEH,,,,3,,,,,,,,,,3,
,Subtotal,5,84,22,"3,555",12,84,5,505,53,4,639,,,"4,968",
"Prepared by OISP, 29 Mar 11",,,,,,,,,,,,,,,,
