Headcount by Major by Ethnic Origin Spring 2011,,,,,,,,,,,,
Spring 2011,,White Only (NEW),Black Only + 2 or more/1 Black (NEW),Hispanic or Latino of any Race (NEW),Asian Only (NEW),Native Hawaii Only (New),American Indian Only (NEW),International,2 or More/Excluding Black (NEW),Unknown or Not Reported,Total,
Architecture,ARCH,63,3,17,7,,2,66,,2,160,
,COMG,9,,3,1,,,20,1,,34,
,COSC,309,4,44,5,,4,1,2,1,370,
,COSL,168,7,34,1,,,2,4,,216,
,ENDL,115,1,44,4,,,,6,,170,
,ENDS,126,3,37,4,,1,4,2,,177,
,LAND,71,1,12,4,,,23,3,,114,
,LANL,22,2,13,,,,,2,,39,
,LDEV,19,2,4,,,,11,,,36,
,URPL,28,1,3,,,1,13,,1,47,
,URSC,49,8,23,4,,1,42,,,127,
,USAR,25,2,12,1,,,1,1,,42,
,VISL,90,3,19,3,,1,1,2,,119,
,VIST,81,1,11,6,,,15,,,114,
,,"1,175",38,276,40,,10,199,23,4,"1,765",
Business Admin,ACCT,648,24,66,38,1,2,28,6,1,814,
,AGBU,7,,,,,,,,,7,
,BHNR,104,5,7,2,,2,1,2,,123,
,BUAD,1108,37,208,71,3,3,20,26,3,1479,
,BUAG,4,,,,,,,,,4,
,EMBA,62,6,17,6,,,1,,2,94,
,FINC,523,10,59,36,1,3,15,6,1,654,
,INFO,279,18,58,33,1,,6,5,,400,
,MGMT,253,15,28,13,1,1,5,6,,322,
,MISY,38,2,7,3,,,77,2,,129,
,MKTG,371,13,55,19,,,12,4,,474,
,MLER,36,,3,2,,,1,,,42,
,USBU,122,6,10,4,1,,2,3,,148,
,,"3,555",136,518,227,8,11,168,60,7,"4,690",
Education,BIED,2,,7,,,,2,,,11,
,CPSY,12,7,14,3,,,1,1,1,39,
,EDAD,142,44,46,3,,2,1,1,2,241,
,EDCI,260,63,46,6,,3,55,6,2,441,
,EDHL,252,13,49,11,,1,,4,,330,
,EDIS,563,15,79,3,,1,2,6,1,670,
,EDKI,386,12,92,12,,,3,11,,516,
,EDSM,113,12,21,,,,1,1,1,149,
,EDTC,19,,4,,,,6,1,,30,
,EHRD,84,27,24,10,,,22,2,1,170,
,EPSY,62,10,24,5,,,32,2,1,136,
,HEED,20,6,4,4,,,4,1,1,40,
,HLTH,234,11,42,9,,3,,4,,303,
,HRDL,86,10,18,4,,,1,2,,121,
,HRDV,121,2,18,7,,,1,1,1,151,
,INST,731,9,100,14,1,1,2,10,,868,
,ISNC,1,,,,,,,,,1,
,KINE,251,12,30,8,,4,26,1,,332,
,NUTR,2,,,,,,,,,2,
,PHED,1,,,,,,,,,1,
,SPED,11,2,4,1,,,,,,18,
,SPMT,206,8,23,3,,,4,3,,247,
,SPSY,26,3,11,2,,,2,1,,45,
,TCMG,31,,7,7,,,,1,,46,
,TCML,34,,20,2,,,,,,56,
,TECR,1,,,,,,,,,1,
,USEH,3,,,,,,,,,3,
,,"3,654",266,683,114,1,15,165,59,11,"4,968",
"Prepared by OISP, 29 Mar 11",,,,,,,,,,,,
