Headcount by Major by Ethnic Origin by Gender Spring 2011,,,,,,,,,,,,,,,,,,,,,,,
Spring 2011,,White Only (NEW),,Black Only + 2 or more/1 Black (NEW),,Hispanic or Latino of any Race (NEW),,Asian Only (NEW),,Native Hawaii Only (New),,American Indian Only (NEW),,International,,2 or More/Excluding Black (NEW),,Unknown or Not Reported,,Total,,Total,
,,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
Agriculture,ABME,,,,,,,,,,,,,1,,,,,,1,,1,
,ADEV,14,9,,,,2,,,,,,,,,,,,,14,11,25,
,AGBL,47,75,1,3,6,12,,1,,,,,,1,,2,,1,54,95,149,
,AGBU,51,87,,,6,5,3,3,,,,,15,12,,3,,,75,110,185,
,AGCJ,141,28,4,,14,7,2,,,,3,,2,,2,1,,,168,36,204,
,AGEC,108,313,3,6,14,31,1,2,,,2,,25,54,2,5,,,155,411,566,
,AGLS,19,21,3,6,7,5,,,,,,,,,,,,,29,32,61,
,AGRO,30,112,2,,5,10,,3,,,,2,1,5,,1,,,38,133,171,
,AGSC,78,26,,1,9,6,,,,,,1,,,,1,,,87,35,122,
,AGSM,6,120,,1,1,17,,,,,,1,,1,,,,,7,140,147,
,ALEC,66,41,6,4,,7,,1,,,,,6,1,,,,1,78,55,133,
,ALED,125,203,5,37,19,26,,,,,,5,,4,1,,,1,150,276,426,
,ANBR,6,2,,,,,,,,,,,,1,,,,,6,3,9,
,ANSC,481,185,5,2,63,33,4,,,,5,,4,3,6,1,1,,569,224,793,
,BAEN,27,117,4,4,11,11,4,6,,,,1,18,29,2,5,,1,66,174,240,
,BESC,59,56,6,8,41,15,7,10,,,1,1,2,,3,1,,,119,91,210,
,BICH,49,85,9,3,11,15,20,21,,,,1,21,31,2,2,,2,112,160,272,
,BIOT,,4,,,1,,2,1,,,,,7,4,,,,,10,9,19,
,CDEV,10,13,1,,1,1,,,,,,,,,,,,,12,14,26,
,DASC,1,,,,,,,,,,,,,,,,,,1,,1,
,ECOR,4,6,,,1,4,,,,,,,,,1,1,,,6,11,17,
,ENST,5,10,,,2,1,,,,,,,,,,,,,7,11,18,
,ENTO,38,36,1,2,12,12,,,,,,,7,7,1,2,1,,60,59,119,
,FISC,1,3,,1,,,,,,,,,,,,,,,1,4,5,
,FIVL,17,6,2,,8,2,1,2,,,,,,,3,,,,31,10,41,
,FIVS,5,6,,1,6,,,,,,,,,,,,,,11,7,18,
,FLOR,2,,,,1,,,,,,,,,,1,,,,4,,4,
,FORS,7,19,1,,1,3,,1,,,,,2,3,,,,1,11,27,38,
,FSTC,70,26,5,2,15,8,4,4,,,,,12,9,2,2,,,108,51,159,
,GENE,56,28,2,1,9,8,5,2,,,,,5,6,2,1,1,,80,46,126,
,HORT,105,52,,,19,11,1,,,,1,2,11,9,,,,,137,74,211,
,MEPS,2,3,,1,1,,,1,,,,,6,3,,,1,1,10,9,19,
,NRDV,9,11,,,1,1,,,,,,,,,,,,,10,12,22,
,NUSC,261,32,8,1,51,13,17,8,1,,1,,5,1,6,1,,,350,56,406,
,NUTR,20,6,2,,2,,2,1,,,,,14,5,,,,,40,12,52,
,PLBR,5,20,,,,3,,,,,,,9,10,,,,,14,33,47,
,PLPA,5,3,1,,3,4,,,,,,,7,7,1,,1,1,18,15,33,
,POSC,51,81,5,3,18,15,,1,,,,,4,7,2,,,,80,107,187,
,PPRO,1,2,,,,,,,,,,,,,,,,,1,2,3,
,PREP,8,4,1,,2,1,,,,1,,,3,1,,,,,14,7,21,
,PSSC,2,3,,,,,,,,,,,,,,1,,,2,4,6,
,RENR,8,30,,1,4,3,,,,,,2,,,,,,,12,36,48,
,RLEM,23,57,1,,7,11,,,,,,,6,1,,2,,,37,71,108,
,RPTS,177,133,9,3,24,19,3,3,,,1,1,19,7,,2,1,,234,168,402,
,RRDV,,1,,1,,,,,,,,,,,,,,,,2,2,
,SOSC,8,13,,1,1,,,2,,,,,3,2,,,,,12,18,30,
,SPSA,2,25,,,,5,,1,,,,,,,,3,,,2,34,36,
,TOXI,,,,,,1,,,,,,,,,,,,,,1,1,
,USAL,50,68,6,5,7,8,,1,,,,,,1,,2,,,63,85,148,
,WFSC,181,176,6,1,59,47,2,1,,,3,1,13,5,3,3,2,,269,234,503,
,WISC,5,6,,,2,,,,,,,,,,,,,,7,6,13,
,WMHS,2,8,1,,,,,,,,,,3,,,1,,,6,9,15,
,Subtotal,"2,448","2,371",100,99,465,383,78,76,1,1,17,18,231,230,40,43,8,9,"3,388","3,230","6,618",
"Prepared by OISP, 29 Mar 11",,,,,,,,,,,,,,,,,,,,,,,
