Ethnicity White Only (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity Spring 2011,,,,,,,,,,,,,,,,
Spring 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Agriculture,MEPS,,,,,,,,2,2,3,3,,,5,
,NRDV,,,,,,,1,19,20,,,,,20,
,NUSC,27,46,74,139,7,293,,,,,,,,293,
,NUTR,,,,,,,1,17,18,8,8,,,26,
,PLBR,,,,,,,,14,14,11,11,,,25,
,PLPA,,,,,,,,4,4,4,4,,,8,
,POSC,6,18,38,61,2,125,,7,7,,,,,132,
,PPRO,,,,,,,,3,3,,,,,3,
,PREP,,,,,,,,6,6,6,6,,,12,
,PSSC,1,,2,2,,5,,,,,,,,5,
,RENR,1,6,17,14,,38,,,,,,,,38,
,RLEM,2,16,14,15,,47,2,19,21,12,12,,,80,
,RPTS,6,52,106,112,2,278,1,20,21,11,11,,,310,
,RRDV,,,,,,,,1,1,,,,,1,
,SOSC,,,,,,,,11,11,10,10,,,21,
,SPSA,1,3,7,16,,27,,,,,,,,27,
,TOXI,,,,,,,,,,,,,,,
,USAL,,3,29,86,,118,,,,,,,,118,
,WFSC,24,69,83,112,2,290,2,34,36,31,31,,,357,
,WISC,,,,,,,,11,11,,,,,11,
,WMHS,,,,,,,,9,9,1,1,,,10,
,Subtotal,280,701,"1,231","1,825",41,"4,078",18,466,484,257,257,,,"4,819",
Architecture,ARCH,,,,,,,2,51,53,10,10,,,63,
,COMG,,,,,,,,9,9,,,,,9,
,COSC,,3,74,231,1,309,,,,,,,,309,
,COSL,32,69,57,9,1,168,,,,,,,,168,
,ENDL,33,41,30,11,,115,,,,,,,,115,
,ENDS,,,17,109,,126,,,,,,,,126,
,LAND,,,8,54,,62,,9,9,,,,,71,
,LANL,4,13,5,,,22,,,,,,,,22,
,LDEV,,,,,,,,19,19,,,,,19,
,URPL,,,,,,,1,27,28,,,,,28,
,URSC,8,6,13,17,,44,,,,5,5,,,49,
,USAR,,1,8,16,,25,,,,,,,,25,
,VISL,22,27,26,15,,90,,,,,,,,90,
,VIST,,,3,31,,34,1,46,47,,,,,81,
,Subtotal,99,160,241,493,2,995,4,161,165,15,15,,,"1,175",
"Prepared by OISP, 29 Mar 11",,,,,,,,,,,,,,,,
