Ethnicity Black Only + 2 or more/1 Black (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity Spring 2011,,,,,,,,,,,,,,,,
Spring 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Science,APHY,,,,,,,,,,,,,,,
,APMS,,2,2,2,,6,,,,,,,,6,
,BIOL,15,13,9,13,,50,,,,1,1,,,51,
,BMCB,1,,,,,1,,,,,,,,1,
,BOTN,,,,,,,,,,,,,,,
,CHEM,2,,,5,,7,,2,2,5,5,,,14,
,GENE,,,,,,,,,,,,,,,
,MATH,,2,1,2,,5,,,,1,1,,,6,
,MBIO,1,2,,1,,4,,,,,,,,4,
,MEPS,,,,,,,,,,,,,,,
,MSEN,,,,,,,,,,,,,,,
,PHYS,2,,,2,,4,,1,1,1,1,,,6,
,STAT,,,,,,,2,3,5,,,,,5,
,USSC,,,1,1,,2,,,,,,,,2,
,ZOOL,,1,,1,,2,,,,,,,,2,
,Subtotal,21,20,13,27,,81,2,6,8,8,8,,,97,
Veterinary Medicine,BIMS,13,15,6,8,,42,,1,1,,,,,43,
,GENE,,,,,,,,,,,,,,,
,LAMD,,,,,,,,,,,,,,,
,STJR,,,,,,,,,,,,,,,
,TOXI,,,,,,,,1,1,,,,,1,
,USVM,,,,,,,,,,,,,,,
,VMSC,,,,,,,,,,,,,,,
,VPAT,,,,,,,,,,,,,,,
,VPHY,,,,,,,,,,,,,,,
,VTMD,,,,,,,,,,,,4,4,4,
,VTMI,,,,,,,,,,1,1,,,1,
,VTMS,,,,,,,,,,,,,,,
,Subtotal,13,15,6,8,,42,,2,2,1,1,4,4,49,
General Studies,GEST,94,93,10,,,197,,,,,,,,197,
,TEAM,10,3,,,,13,,,,,,,,13,
,Subtotal,104,96,10,,,210,,,,,,,,210,
Other - Special Populations,MARB,,,,,,,,,,,,,,,
,MARM,,,,,,,,,,,,,,,
,MDSC,,,,,,,,,,,,,,,
,OCRE,,,,,,,,,,,,,,,
,PHLT,,,,,,,,,,,,,,,
,REEP,,,,,,,,,,,,,,,
,Subtotal,,,,,,,,,,,,,,,
University,Total,238,294,287,403,3,"1,225",16,136,152,226,226,4,4,"1,607",
"Prepared by OISP, 29 Mar 11",,,,,,,,,,,,,,,,
