College Geosciences,,,,,,,,,,,,
Texas A&M University Student Enrollment Summary Student Head Count by Level by College,,,,,,,,,,,,
Spring 2011,,,,,,,,,,,,
Spring 2011,,Student Level,,,,,,,,,,
,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,%,#,%,#,%,#,%,#,%,
Gender,Total,651,100.0%,177,100.0%,161,100.0%,,,989,100.0%,
,Female,241,37.0%,75,42.4%,70,43.5%,,,386,39.0%,
,Male,410,63.0%,102,57.6%,91,56.5%,,,603,61.0%,
Ethnicity,White Only (NEW),489,75.1%,122,68.9%,61,37.9%,,,672,67.9%,
,Black Only + 2 or more/1 Black (NEW),20,3.1%,3,1.7%,1,.6%,,,24,2.4%,
,Hispanic or Latino of any Race (NEW),95,14.6%,11,6.2%,2,1.2%,,,108,10.9%,
,Asian Only (NEW),13,2.0%,4,2.3%,4,2.5%,,,21,2.1%,
,Native Hawaii Only (New),3,.5%,,,1,.6%,,,4,.4%,
,American Indian Only (NEW),2,.3%,,,,,,,2,.2%,
,International,21,3.2%,35,19.8%,90,55.9%,,,146,14.8%,
,2 or More/Excluding Black (NEW),8,1.2%,,,1,.6%,,,9,.9%,
,Unknown or Not Reported,,,2,1.1%,1,.6%,,,3,.3%,
,Total,651,100.0%,177,100.0%,161,100.0%,,,989,100.0%,
TAMU Age Categories,<18,,,,,,,,,,,
,18-21,309,47.5%,,,,,,,309,31.2%,
,22-25,294,45.2%,83,46.9%,14,8.7%,,,391,39.5%,
,26-30,38,5.8%,66,37.3%,69,42.9%,,,173,17.5%,
,31-39,7,1.1%,24,13.6%,59,36.6%,,,90,9.1%,
,40+,3,.5%,4,2.3%,19,11.8%,,,26,2.6%,
Enrollment Status,1st Time in College,,,,,,,,,,,
,1st Time PB,,,2,1.1%,,,,,2,.2%,
,1st Time Graduate,,,12,6.8%,24,14.9%,,,36,3.6%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,16,2.5%,,,,,,,16,1.6%,
,Readmitted,4,.6%,,,1,.6%,,,5,.5%,
,Continuing,631,96.9%,163,92.1%,136,84.5%,,,930,94.0%,
Tuition Status,Resident Tuition,587,90.2%,85,48.0%,36,22.4%,,,708,71.6%,
,Non-Resident Tuition,28,4.3%,21,11.9%,29,18.0%,,,78,7.9%,
,Tuition Exemption/Waiver,36,5.5%,71,40.1%,96,59.6%,,,203,20.5%,
Residency Status,Texas Resident,606,93.1%,89,50.3%,38,23.6%,,,733,74.1%,
,"Non-TX, US Resident",24,3.7%,53,29.9%,33,20.5%,,,110,11.1%,
,"Non-TX, Non-US Resident",21,3.2%,35,19.8%,90,55.9%,,,146,14.8%,
SCH Categories,< 6 SCH,13,2.0%,25,14.1%,17,10.6%,,,55,5.6%,
,6-8 SCH,27,4.1%,6,3.4%,3,1.9%,,,36,3.6%,
,9-11 SCH,42,6.5%,142,80.2%,138,85.7%,,,322,32.6%,
,12-14 SCH,318,48.8%,4,2.3%,2,1.2%,,,324,32.8%,
,15-17 SCH,239,36.7%,,,1,.6%,,,240,24.3%,
,>17 SCH,12,1.8%,,,,,,,12,1.2%,
Ft/Pt: TAMU Status,Less Than Half Time,9,1.4%,23,13.0%,14,8.7%,,,46,4.7%,
,Half-Time,68,10.4%,8,4.5%,6,3.7%,,,82,8.3%,
,Full-Time,574,88.2%,146,82.5%,141,87.6%,,,861,87.1%,
Top 10% Texas High School,No,426,65.4%,170,96.0%,155,96.3%,,,751,75.9%,
,Yes,225,34.6%,7,4.0%,6,3.7%,,,238,24.1%,
First Generation,No,431,66.2%,117,66.1%,65,40.4%,,,613,62.0%,
,Unknown,40,6.1%,9,5.1%,28,17.4%,,,77,7.8%,
,Yes,180,27.6%,51,28.8%,68,42.2%,,,299,30.2%,
"Prepared by OISP, 3/30/2011",,,,,,,,,,,,
