Ethnicity Hispanic or Latino of any Race (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity Spring 2011,,,,,,,,,,,,,,,,
Spring 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Science,APHY,,,,,,,,,,2,2,,,2,
,APMS,3,1,5,3,,12,,,,,,,,12,
,BIOL,62,56,62,81,,261,,1,1,,,,,262,
,BMCB,3,8,9,5,,25,,,,,,,,25,
,BOTN,,,,,,,,,,1,1,,,1,
,CHEM,11,8,5,15,1,40,,4,4,12,12,,,56,
,GENE,,,,,,,,,,,,,,,
,MATH,12,7,6,13,,38,,6,6,1,1,,,45,
,MBIO,3,2,4,5,,14,,1,1,1,1,,,16,
,MEPS,,,,,,,,,,,,,,,
,MSEN,,,,,,,,,,,,,,,
,PHYS,12,5,4,5,,26,,4,4,6,6,,,36,
,STAT,,,,,,,1,3,4,1,1,,,5,
,USSC,,,,2,,2,,,,,,,,2,
,ZOOL,1,2,2,3,,8,,,,,,,,8,
,Subtotal,107,89,97,132,1,426,1,19,20,24,24,,,470,
Veterinary Medicine,BIMS,73,71,54,71,,269,,2,2,1,1,,,272,
,GENE,,,,,,,,,,,,,,,
,LAMD,,,,,,,,1,1,,,,,1,
,STJR,,,,,,,,,,,,,,,
,TOXI,,,,,,,,,,,,,,,
,USVM,,,,,,,,,,,,,,,
,VMSC,,,,,,,,,,,,,,,
,VPAT,,,,,,,,,,1,1,,,1,
,VPHY,,,,,,,,,,,,,,,
,VTMD,,,,,,,,,,,,50,50,50,
,VTMI,,,,,,,,,,,,,,,
,VTMS,,,,,,,,,,,,,,,
,Subtotal,73,71,54,71,,269,,3,3,2,2,50,50,324,
General Studies,GEST,320,367,53,,,740,,,,,,,,740,
,TEAM,77,34,6,,,117,,,,,,,,117,
,Subtotal,397,401,59,,,857,,,,,,,,857,
Other - Special Populations,MARB,,,,,,,,1,1,,,,,1,
,MARM,,,,,,,,,,,,,,,
,MDSC,,,,,,,,,,,,,,,
,OCRE,,,,,,,,,,,,,,,
,PHLT,,,,,,,3,,3,,,,,3,
,REEP,,,,,,,,,,,,,,,
,Subtotal,,,,,,,3,1,4,,,,,4,
University,Total,"1,167","1,359","1,334","2,061",15,"5,936",25,399,424,309,309,50,50,"6,719",
"Prepared by OISP, 29 Mar 11",,,,,,,,,,,,,,,,
