Ethnicity Asian Only (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity Spring 2011,,,,,,,,,,,,,,,,
Spring 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Education,BIED,,,,,,,,,,,,,,,
,CPSY,,,,,,,,,,3,3,,,3,
,EDAD,,,,,,,,1,1,2,2,,,3,
,EDCI,,,,,,,,3,3,3,3,,,6,
,EDHL,1,5,3,2,,11,,,,,,,,11,
,EDIS,,2,1,,,3,,,,,,,,3,
,EDKI,4,4,3,1,,12,,,,,,,,12,
,EDSM,,,,,,,,,,,,,,,
,EDTC,,,,,,,,,,,,,,,
,EHRD,,,,,,,,2,2,8,8,,,10,
,EPSY,,,,,,,,3,3,2,2,,,5,
,HEED,,,,,,,,1,1,3,3,,,4,
,HLTH,,,3,6,,9,,,,,,,,9,
,HRDL,2,,1,1,,4,,,,,,,,4,
,HRDV,,,1,6,,7,,,,,,,,7,
,INST,,,1,13,,14,,,,,,,,14,
,ISNC,,,,,,,,,,,,,,,
,KINE,,,1,4,,5,,1,1,2,2,,,8,
,NUTR,,,,,,,,,,,,,,,
,PHED,,,,,,,,,,,,,,,
,SPED,,,,,,,,1,1,,,,,1,
,SPMT,,,,1,,1,,2,2,,,,,3,
,SPSY,,,,,,,,,,2,2,,,2,
,TCMG,,,1,6,,7,,,,,,,,7,
,TCML,,1,1,,,2,,,,,,,,2,
,TECR,,,,,,,,,,,,,,,
,USEH,,,,,,,,,,,,,,,
,Subtotal,7,12,16,40,,75,,14,14,25,25,,,114,
"Prepared by OISP, 29 Mar 11",,,,,,,,,,,,,,,,
