Ethnicity Native Hawaii Only (New),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity Spring 2011,,,,,,,,,,,,,,,,
Spring 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Geosciences,ATMO,,,,,,,,,,,,,,,
,ENGS,,,,3,,3,,,,,,,,3,
,ENST,,,,,,,,,,,,,,,
,GEOG,,,,,,,,,,,,,,,
,GEOL,,,,,,,,,,,,,,,
,GEOP,,,,,,,,,,1,1,,,1,
,GEOS,,,,,,,,,,,,,,,
,MARB,,,,,,,,,,,,,,,
,METR,,,,,,,,,,,,,,,
,OCNG,,,,,,,,,,,,,,,
,SPSG,,,,,,,,,,,,,,,
,USGE,,,,,,,,,,,,,,,
,WMHS,,,,,,,,,,,,,,,
,Subtotal,,,,3,,3,,,,1,1,,,4,
Liberal Arts,AMST,,,,,,,,,,,,,,,
,ANTH,,,,,,,,,,,,,,,
,CLSS,,,,,,,,,,,,,,,
,COMM,,,,1,,1,,,,,,,,1,
,ECON,,,,3,,3,,,,,,,,3,
,ENGL,,,,1,,1,,,,,,,,1,
,FREN,,,,,,,,,,,,,,,
,GERM,,,,,,,,,,,,,,,
,HISP,,,,,,,,,,,,,,,
,HIST,,,,,,,,,,,,,,,
,INTS,1,,,1,,2,,,,,,,,2,
,MODL,,,,,,,,,,,,,,,
,MUSC,,,,,,,,,,,,,,,
,NRSC,,,,,,,,,,,,,,,
,NUTR,,,,,,,,,,,,,,,
,PERF,,,,,,,,,,,,,,,
,PHIL,,,,,,,,,,,,,,,
,POLS,,,,,,,,,,,,,,,
,PSYC,,,,,,,,,,,,,,,
,RUSS,,,,,,,,,,,,,,,
,SOCI,,,,1,,1,,,,,,,,1,
,SPAN,,,,,,,,,,,,,,,
,TCMS,,,,1,,1,,,,,,,,1,
,THAR,,,,,,,,,,,,,,,
,USLA,,,,,,,,,,,,,,,
,WGST,,,,,,,,,,,,,,,
,Subtotal,1,,,8,,9,,,,,,,,9,
"Prepared by OISP, 29 Mar 11",,,,,,,,,,,,,,,,
