Demographic Summary by Classification Undergraduate Students College Station Compus Summer 2011,,,,,,,,,
Summer 2011,,U0: UG Non-Degree,U1: Freshmen,U2: Sophomore,U3: Junior,U4: Senior,U5: Undergraduate PB,Grand Total,
Head Count,Total,26,674,"1,339","3,391","6,228",66,"11,724",
Gender,Female,12,321,561,"1,657","2,992",40,"5,583",
,Male,14,353,778,"1,734","3,236",26,"6,141",
Ethnicity,White Only (NEW),15,393,880,"2,440","4,443",50,"8,221",
,Black Only + 2 or more/1 Black (NEW),1,57,88,161,226,2,535,
,Hispanic or Latino of any Race (NEW),,143,215,507,973,9,"1,847",
,Asian Only (NEW),5,28,80,125,268,2,508,
,Native Hawaii Only (New),,1,1,5,5,,12,
,American Indian Only (NEW),,1,4,21,24,1,51,
,International,,21,28,38,149,,236,
,2 or More/Excluding Black (NEW),1,9,22,55,85,1,173,
,Unknown or Not Reported,4,21,21,39,55,1,141,
TAMU Age Categories,<18,,2,,1,,,3,
,18-21,18,661,"1,273","2,596","1,976",3,"6,527",
,22-25,5,8,51,709,"3,947",39,"4,759",
,26-30,2,3,9,54,214,15,297,
,31-39,,,4,27,70,7,108,
,40+,1,,2,4,21,2,30,
College,Agriculture,4,22,155,675,"1,213",25,"2,094",
,Architecture,,7,56,124,239,1,427,
,Business Admin,1,23,93,482,738,,"1,337",
,Education,,14,84,384,879,5,"1,366",
,Engineering,3,91,258,669,"1,329",15,"2,365",
,Geosciences,,21,12,50,150,3,236,
,Liberal Arts,13,29,200,666,"1,176",7,"2,091",
,Science,4,30,52,141,304,9,540,
,Veterinary Medicine,,10,38,89,191,,328,
,General Studies,1,427,390,110,,,928,
,Other - Special Populations,,,1,1,9,1,12,
Enrollment Status,1st Time in College,,383,9,1,,,393,
,1st Time Transfer,,8,81,68,10,1,168,
,Readmitted,,,12,24,69,10,115,
,Continuing,26,283,"1,237","3,298","6,149",55,"11,048",
Tuition Status,Resident Tuition,14,578,"1,207","3,153","5,730",59,"10,741",
,Non-Resident Tuition,1,68,58,82,189,2,400,
,Tuition Exemption/Waiver,11,28,74,156,309,5,583,
Residency Status,Texas Resident,15,592,"1,248","3,235","5,885",61,"11,036",
,"Non-TX, US Resident",10,60,62,117,199,5,453,
,"Non-TX, Non-US Resident",1,22,29,39,144,,235,
SCH Categories,< 6 SCH,8,146,522,"1,195","2,323",37,"4,231",
,6-8 SCH,16,484,583,"1,376","2,397",22,"4,878",
,9-11 SCH,2,34,159,518,876,6,"1,595",
,12-14 SCH,,10,74,285,580,1,950,
,15-17 SCH,,,1,16,48,,65,
,>17 SCH,,,,1,4,,5,
Ft/Pt: TAMU Status,Less Than Half Time,5,111,421,949,"1,775",18,"3,279",
,Half-Time,18,513,637,"1,568","2,769",38,"5,543",
,Full-Time,3,50,281,874,"1,684",10,"2,902",
Top 10% Texas High School,No,25,565,895,"2,237","4,106",44,"7,872",
,Yes,1,109,444,"1,154","2,122",22,"3,852",
First Generation,No,15,413,927,"2,327","4,286",44,"8,012",
,Unknown,7,55,58,150,348,7,625,
,Yes,4,206,354,914,"1,594",15,"3,087",
"Prepared by OISP, 11 Aug 11",,,,,,,,,
