College Education,,,,,,,,,,,,,,,,,,,,,,,,
Demographic Summary by College by Ethnicity/Gender College Station Campus,,,,,,,,,,,,,,,,,,,,,,,,
First-Time In College Students Summer 2011,,,,,,,,,,,,,,,,,,,,,,,,
Summer 2011,,White Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Asian Only (NEW),,,Native Hawaii Only (New),,American Indian Only (NEW),,2 or More/Excluding Black (NEW),,,Grand Total,,,
,,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,M,Tot,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,1,3,4,,4,4,,,,,1,1,,,,,,,,1,8,9,
TAMU Age Categories,<18,,,,,,,,,,,,,,,,,,,,,,,
,18-21,1,3,4,,4,4,,,,,1,1,,,,,,,,1,8,9,
Classification,Freshman,1,3,4,,4,4,,,,,1,1,,,,,,,,1,8,9,
,Sophomore,,,,,,,,,,,,,,,,,,,,,,,
,Junior,,,,,,,,,,,,,,,,,,,,,,,
Tuition Status,Resident Tuition,1,3,4,,3,3,,,,,,,,,,,,,,1,6,7,
,Non-Resident Tuition,,,,,1,1,,,,,1,1,,,,,,,,,2,2,
,Tuition Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,,,
Residency Status,Texas Resident,1,3,4,,3,3,,,,,,,,,,,,,,1,6,7,
,"Non-TX, US Resident",,,,,1,1,,,,,1,1,,,,,,,,,2,2,
SCH Categories,< 6 SCH,,,,,,,,,,,,,,,,,,,,,,,
,6-8 SCH,1,3,4,,3,3,,,,,1,1,,,,,,,,1,7,8,
,9-11 SCH,,,,,1,1,,,,,,,,,,,,,,,1,1,
Ft/Pt:  TAMU Status,Less Than Half Time,,,,,,,,,,,,,,,,,,,,,,,
,Half-Time,1,3,4,,3,3,,,,,1,1,,,,,,,,1,7,8,
,Full-Time,,,,,1,1,,,,,,,,,,,,,,,1,1,
Top 10% Texas High School,No,1,2,3,,4,4,,,,,1,1,,,,,,,,1,7,8,
,Yes,,1,1,,,,,,,,,,,,,,,,,,1,1,
First Generation,No,1,3,4,,1,1,,,,,1,1,,,,,,,,1,5,6,
,Unknown,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,,,,3,3,,,,,,,,,,,,,,,3,3,
On / Off Campus,Off Campus,1,3,4,,4,4,,,,,1,1,,,,,,,,1,8,9,
,On Campus,,,,,,,,,,,,,,,,,,,,,,,
"Prepared by OISP, 11 Aug 11",,,,,,,,,,,,,,,,,,,,,,,,
