College Veterinary Medicine,,,,,,,,,,,,,,,,,,,,,,,,
Demographic Summary by College by Ethnicity/Gender College Station Campus,,,,,,,,,,,,,,,,,,,,,,,,
First-Time In College Students Summer 2011,,,,,,,,,,,,,,,,,,,,,,,,
Summer 2011,,White Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Asian Only (NEW),,,Native Hawaii Only (New),,American Indian Only (NEW),,2 or More/Excluding Black (NEW),,,Grand Total,,,
,,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,M,Tot,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,1,,1,,,,,,,,,,,,,,,,,1,,1,
TAMU Age Categories,<18,,,,,,,,,,,,,,,,,,,,,,,
,18-21,1,,1,,,,,,,,,,,,,,,,,1,,1,
Classification,Freshman,1,,1,,,,,,,,,,,,,,,,,1,,1,
,Sophomore,,,,,,,,,,,,,,,,,,,,,,,
,Junior,,,,,,,,,,,,,,,,,,,,,,,
Tuition Status,Resident Tuition,,,,,,,,,,,,,,,,,,,,,,,
,Non-Resident Tuition,1,,1,,,,,,,,,,,,,,,,,1,,1,
,Tuition Exemption/Waiver,,,,,,,,,,,,,,,,,,,,,,,
Residency Status,Texas Resident,,,,,,,,,,,,,,,,,,,,,,,
,"Non-TX, US Resident",1,,1,,,,,,,,,,,,,,,,,1,,1,
SCH Categories,< 6 SCH,,,,,,,,,,,,,,,,,,,,,,,
,6-8 SCH,1,,1,,,,,,,,,,,,,,,,,1,,1,
,9-11 SCH,,,,,,,,,,,,,,,,,,,,,,,
Ft/Pt:  TAMU Status,Less Than Half Time,,,,,,,,,,,,,,,,,,,,,,,
,Half-Time,1,,1,,,,,,,,,,,,,,,,,1,,1,
,Full-Time,,,,,,,,,,,,,,,,,,,,,,,
Top 10% Texas High School,No,1,,1,,,,,,,,,,,,,,,,,1,,1,
,Yes,,,,,,,,,,,,,,,,,,,,,,,
First Generation,No,1,,1,,,,,,,,,,,,,,,,,1,,1,
,Unknown,,,,,,,,,,,,,,,,,,,,,,,
,Yes,,,,,,,,,,,,,,,,,,,,,,,
On / Off Campus,Off Campus,1,,1,,,,,,,,,,,,,,,,,1,,1,
,On Campus,,,,,,,,,,,,,,,,,,,,,,,
"Prepared by OISP, 11 Aug 11",,,,,,,,,,,,,,,,,,,,,,,,
