Top 10,,,,,,,,,
Summer 2011  Feeder Patterns,,,,,,,,,
First Time In College (College Station Campus),,,,,,,,,
Texas County   Students  % Total,,,,,,,,,
Harris,,58,,,14.8%,,,,
Bexar,,35,,,8.9%,,,,
Travis,,26,,,6.6%,,,,
Tarrant,,25,,,6.4%,,,,
Dallas,,21,,,5.3%,,,,
Fort Bend,,18,,,4.6%,,,,
Brazos,,12,,,3.1%,,,,
Denton,,9,,,2.3%,,,,
Bell,,8,,,2.0%,,,,
Collin,,8,,,2.0%,,,,
State,Students  % Total,,,,,,,,
Texas,369,,,93.9%,,,,,
Louisiana,6,,,1.5%,,,,,
California,5,,,1.3%,,,,,
Florida,4,,,1.0%,,,,,
Puerto Rico,1,,,0.3%,,,,,
Pennsylvania,1,,,0.3%,,,,,
Ohio,1,,,0.3%,,,,,
Missouri,1,,,0.3%,,,,,
Maryland,1,,,0.3%,,,,,
Kentucky,1,,,0.3%,,,,,
Country,,,Students  % Total,,,,,,
United States,,,392,,,99.7%,,,
Other Foreign or US,,,1,,,0.3%,,,
