Residency Status by Tuition Status by College College Station Compus,,,,,,,,,,
Summer 2011,,,,,,,,,,
Summer 2011,,Tuition Status,,,,,,,,
,,Resident Tuition,,Non-Resident Tuition,,Tuition Exemption/Waiver,,Total,,
Agriculture,Texas Resident,"2,360",100.0%,6,4.5%,65,13.6%,"2,431",81.9%,
,"Non-TX, US Resident",0,.0%,68,51.1%,186,39.0%,254,8.6%,
,"Non-TX, Non-US Resident",0,.0%,59,44.4%,226,47.4%,285,9.6%,
Architecture,Texas Resident,465,100.0%,3,6.7%,19,26.4%,487,83.7%,
,"Non-TX, US Resident",0,.0%,8,17.8%,16,22.2%,24,4.1%,
,"Non-TX, Non-US Resident",0,.0%,34,75.6%,37,51.4%,71,12.2%,
Business Admin,Texas Resident,"1,549",100.0%,0,.0%,39,28.3%,"1,588",90.4%,
,"Non-TX, US Resident",0,.0%,18,26.1%,43,31.2%,61,3.5%,
,"Non-TX, Non-US Resident",0,.0%,51,73.9%,56,40.6%,107,6.1%,
Education,Texas Resident,"1,943",100.0%,11,14.7%,41,26.5%,"1,995",91.8%,
,"Non-TX, US Resident",0,.0%,33,44.0%,59,38.1%,92,4.2%,
,"Non-TX, Non-US Resident",0,.0%,31,41.3%,55,35.5%,86,4.0%,
Engineering,Texas Resident,"2,420",100.0%,5,1.0%,72,6.2%,"2,497",61.2%,
,"Non-TX, US Resident",0,.0%,81,16.3%,216,18.6%,297,7.3%,
,"Non-TX, Non-US Resident",0,.0%,412,82.7%,875,75.2%,"1,287",31.5%,
G. Bush School of Govt,Texas Resident,66,100.0%,5,41.7%,21,87.5%,92,90.2%,
,"Non-TX, US Resident",0,.0%,7,58.3%,3,12.5%,10,9.8%,
,"Non-TX, Non-US Resident",0,.0%,0,.0%,0,.0%,0,.0%,
Geosciences,Texas Resident,267,100.0%,3,4.9%,10,9.6%,280,64.8%,
,"Non-TX, US Resident",0,.0%,24,39.3%,40,38.5%,64,14.8%,
,"Non-TX, Non-US Resident",0,.0%,34,55.7%,54,51.9%,88,20.4%,
Liberal Arts,Texas Resident,"2,067",100.0%,4,5.6%,67,25.1%,"2,138",88.9%,
,"Non-TX, US Resident",0,.0%,44,61.1%,157,58.8%,201,8.4%,
,"Non-TX, Non-US Resident",0,.0%,24,33.3%,43,16.1%,67,2.8%,
Science,Texas Resident,666,100.0%,4,5.9%,29,6.0%,699,57.4%,
,"Non-TX, US Resident",0,.0%,35,51.5%,153,31.7%,188,15.4%,
,"Non-TX, Non-US Resident",0,.0%,29,42.6%,301,62.3%,330,27.1%,
Veterinary Medicine,Texas Resident,502,100.0%,1,10.0%,8,10.4%,511,86.8%,
,"Non-TX, US Resident",0,.0%,6,60.0%,29,37.7%,35,5.9%,
,"Non-TX, Non-US Resident",0,.0%,3,30.0%,40,51.9%,43,7.3%,
General Studies,Texas Resident,856,100.0%,0,.0%,17,65.4%,873,94.1%,
,"Non-TX, US Resident",0,.0%,34,73.9%,7,26.9%,41,4.4%,
,"Non-TX, Non-US Resident",0,.0%,12,26.1%,2,7.7%,14,1.5%,
Other - Special Populations,Texas Resident,16,100.0%,0,.0%,0,.0%,16,53.3%,
,"Non-TX, US Resident",0,.0%,2,14.3%,0,.0%,2,6.7%,
,"Non-TX, Non-US Resident",0,.0%,12,85.7%,0,.0%,12,40.0%,
Total,Texas Resident,"13,177",100.0%,42,3.8%,388,13.0%,"13,607",78.8%,
,"Non-TX, US Resident",0,.0%,360,32.6%,909,30.4%,"1,269",7.3%,
,"Non-TX, Non-US Resident",0,.0%,701,63.6%,"1,689",56.6%,"2,390",13.8%,
"Prepared by OISP, 8/12/2011",,,,,,,,,,
