Demographic Summary First Generation FTIC Students,,,,,,
College Station Campus Summer 2011,,,,,,
Summer 2011,,First Generation Undergraduates,,,Grand Total,
,,Unknown,Yes,No,,
Headcount Total,,8,129,256,393,
Gender,Female,5,72,132,209,
,Male,3,57,124,184,
Ethnicity,White Only (NEW),3,43,198,244,
,Black Only + 2 or more/1 Black (NEW),,25,11,36,
,Hispanic or Latino of any Race (NEW),3,54,35,92,
,Asian Only (NEW),1,6,7,14,
,Native Hawaii Only (New),,,1,1,
,American Indian Only (NEW),,,1,1,
,2 or More/Excluding Black (NEW),1,1,3,5,
TAMU Age Categories,<18,,2,,2,
,18-21,8,127,256,391,
College,Agriculture,,2,2,4,
,Business Admin,,,4,4,
,Education,,3,6,9,
,Engineering,,10,23,33,
,Geosciences,,6,8,14,
,Liberal Arts,,,1,1,
,Science,,1,4,5,
,Veterinary Medicine,,,1,1,
,General Studies,8,107,207,322,
Enrollment Status,1st Time in College,8,129,256,393,
Tuition Status,Resident Tuition,5,118,238,361,
,Non-Resident Tuition,2,9,12,23,
,Tuition Exemption/Waiver,1,2,6,9,
Residency Status,Texas Resident,6,120,243,369,
,"Non-TX, US Resident",2,9,13,24,
SCH Categories,< 6 SCH,,7,14,21,
,6-8 SCH,8,120,239,367,
,9-11 SCH,,2,3,5,
Ft/Pt:  TAMU Status,Less Than Half Time,,2,3,5,
,Half-Time,8,125,250,383,
,Full-Time,,2,3,5,
Top 10% Texas High School,No,8,113,230,351,
,Yes,,16,26,42,
"Prepared by OISP, 11 Aug 11",,,,,,
