College Agriculture,,,,,,,,,,,,
Texas A&M University Student Enrollment Summary Student Head Count by Level by College College Station Compus,,,,,,,,,,,,
Summer 2011,,,,,,,,,,,,
Summer 2011,,Student Level,,,,,,,,,,
,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,%,#,%,#,%,#,%,#,%,
Gender,Total,"2,094",100.0%,435,100.0%,441,100.0%,,,"2,970",100.0%,
,Female,"1,083",51.7%,222,51.0%,208,47.2%,,,"1,513",50.9%,
,Male,"1,011",48.3%,213,49.0%,233,52.8%,,,"1,457",49.1%,
Ethnicity,White Only (NEW),"1,593",76.1%,294,67.6%,184,41.7%,,,"2,071",69.7%,
,Black Only + 2 or more/1 Black (NEW),98,4.7%,9,2.1%,23,5.2%,,,130,4.4%,
,Hispanic or Latino of any Race (NEW),255,12.2%,36,8.3%,38,8.6%,,,329,11.1%,
,Asian Only (NEW),53,2.5%,6,1.4%,5,1.1%,,,64,2.2%,
,Native Hawaii Only (New),1,.0%,,,1,.2%,,,2,.1%,
,American Indian Only (NEW),16,.8%,2,.5%,,,,,18,.6%,
,International,15,.7%,84,19.3%,185,42.0%,,,284,9.6%,
,2 or More/Excluding Black (NEW),34,1.6%,3,.7%,,,,,37,1.2%,
,Unknown or Not Reported,29,1.4%,1,.2%,5,1.1%,,,35,1.2%,
,Total,"2,094",100.0%,435,100.0%,441,100.0%,,,"2,970",100.0%,
TAMU Age Categories,<18,,,,,,,,,,,
,18-21,903,43.1%,,,,,,,903,30.4%,
,22-25,"1,072",51.2%,264,60.7%,46,10.4%,,,"1,382",46.5%,
,26-30,83,4.0%,129,29.7%,195,44.2%,,,407,13.7%,
,31-39,33,1.6%,32,7.4%,165,37.4%,,,230,7.7%,
,40+,3,.1%,10,2.3%,35,7.9%,,,48,1.6%,
Enrollment Status,1st Time in College,4,.2%,,,,,,,4,.1%,
,1st Time PB,,,2,.5%,,,,,2,.1%,
,1st Time Graduate,,,30,6.9%,28,6.3%,,,58,2.0%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,62,3.0%,,,,,,,62,2.1%,
,Readmitted,40,1.9%,2,.5%,1,.2%,,,43,1.4%,
,Continuing,"1,988",94.9%,401,92.2%,412,93.4%,,,"2,801",94.3%,
Tuition Status,Resident Tuition,"1,936",92.5%,258,59.3%,166,37.6%,,,"2,360",79.5%,
,Non-Resident Tuition,62,3.0%,43,9.9%,28,6.3%,,,133,4.5%,
,Tuition Exemption/Waiver,96,4.6%,134,30.8%,247,56.0%,,,477,16.1%,
Residency Status,Texas Resident,"1,988",94.9%,270,62.1%,173,39.2%,,,"2,431",81.9%,
,"Non-TX, US Resident",91,4.3%,81,18.6%,82,18.6%,,,254,8.6%,
,"Non-TX, Non-US Resident",15,.7%,84,19.3%,186,42.2%,,,285,9.6%,
SCH Categories,< 6 SCH,794,37.9%,143,32.9%,72,16.3%,,,"1,009",34.0%,
,6-8 SCH,836,39.9%,275,63.2%,354,80.3%,,,"1,465",49.3%,
,9-11 SCH,283,13.5%,14,3.2%,12,2.7%,,,309,10.4%,
,12-14 SCH,156,7.4%,3,.7%,2,.5%,,,161,5.4%,
,15-17 SCH,24,1.1%,,,1,.2%,,,25,.8%,
,>17 SCH,1,.0%,,,,,,,1,.0%,
Ft/Pt:  TAMU Status,Less Than Half Time,611,29.2%,56,12.9%,42,9.5%,,,709,23.9%,
,Half-Time,976,46.6%,90,20.7%,31,7.0%,,,"1,097",36.9%,
,Full-Time,507,24.2%,289,66.4%,368,83.4%,,,"1,164",39.2%,
Top 10% Texas High School,No,"1,550",74.0%,420,96.6%,420,95.2%,,,"2,390",80.5%,
,Yes,544,26.0%,15,3.4%,21,4.8%,,,580,19.5%,
First Generation,No,"1,360",64.9%,283,65.1%,252,57.1%,,,"1,895",63.8%,
,Unknown,101,4.8%,20,4.6%,44,10.0%,,,165,5.6%,
,Yes,633,30.2%,132,30.3%,145,32.9%,,,910,30.6%,
"Prepared by OISP, 8/12/2011",,,,,,,,,,,,
