Ethnicity White Only (NEW),,,,,,,,,,,,,,,,
Headcount by Department by Classification by Ethnicity College Station Campus,,,,,,,,,,,,,,,,
Summer 2011,,,,,,,,,,,,,,,,
Summer 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Liberal Arts,ANTH,,2,6,22,,30,1,4,5,8,8,,,43,
,CLLA,5,18,39,96,1,159,,,,,,,,159,
,COMM,2,18,69,106,,195,,7,7,14,14,,,216,
,ECON,3,9,61,74,,147,,2,2,5,5,,,154,
,ENGL,2,9,48,80,,139,,5,5,20,20,,,164,
,EURO,4,1,2,6,,13,,,,,,,,13,
,HISP,1,1,5,12,,19,,1,1,4,4,,,24,
,HIST,1,20,42,100,1,164,,2,2,9,9,,,175,
,PHUM,,1,6,6,,13,,,,1,1,,,14,
,POLS,,12,52,98,,162,,8,8,17,17,,,187,
,PRFM,,1,3,5,,9,,,,,,,,9,
,PSYC,6,25,94,143,2,270,,20,20,33,33,,,323,
,SOCI,2,3,42,72,1,120,,2,2,8,8,,,130,
,Subtotal,26,120,469,820,5,"1,440",1,51,52,119,119,,,"1,611",
Science,BIOL,11,11,40,115,7,184,,4,4,20,20,,,208,
,CHEM,,2,15,16,1,34,,21,21,74,74,,,129,
,CLSC,,,4,8,,12,,,,,,,,12,
,MATH,3,2,21,34,,60,1,24,25,16,16,,,101,
,PHYS,4,6,2,13,,25,,15,15,39,39,,,79,
,STAT,,,,,,,12,31,43,9,9,,,52,
,Subtotal,18,21,82,186,8,315,13,95,108,158,158,,,581,
Veterinary Medicine,CLVM,5,16,52,143,,216,,1,1,1,1,128,128,346,
,VIBS,,,,,,,,3,3,10,10,,,13,
,VLCS,,,,,,,,4,4,,,,,4,
,VSCS,,,,,,,,,,,,,,,
,VTPB,,,,,,,,7,7,15,15,,,22,
,VTPP,,,,,,,,7,7,8,8,,,15,
,Subtotal,5,16,52,143,,216,,22,22,34,34,128,128,400,
General Studies,GEST,262,260,73,,,595,,,,,,,,595,
,Subtotal,262,260,73,,,595,,,,,,,,595,
Other - Special Populations,CLMD,,,,,,,2,,2,,,,,2,
,ECEN,,,,,,,,,,,,,,,
,MARB,,,,2,1,3,,,,,,,,3,
,MARS,,,,1,,1,,,,,,,,1,
,MASE,,,,2,,2,,,,,,,,2,
,MEEN,,,,,,,,,,,,,,,
,PETE,,,,,,,,,,,,,,,
,SRPH,,,,,,,6,,6,,,,,6,
,Subtotal,,,,5,1,6,8,,8,,,,,14,
University,Total,408,880,"2,440","4,443",50,"8,221",95,"1,303","1,398",939,939,128,128,"10,686",
"Prepared by OISP, 11 Aug 11",,,,,,,,,,,,,,,,
