Ethnicity Hispanic or Latino of any Race (NEW),,,,,,,,,,,,,,,,
Headcount by Department by Classification by Ethnicity College Station Campus,,,,,,,,,,,,,,,,
Summer 2011,,,,,,,,,,,,,,,,
Summer 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Liberal Arts,ANTH,1,2,3,6,,12,,,,,,,,12,
,CLLA,,7,14,39,,60,,,,,,,,60,
,COMM,1,6,9,15,,31,,,,4,4,,,35,
,ECON,,4,8,19,,31,,,,,,,,31,
,ENGL,,4,8,13,,25,,,,6,6,,,31,
,EURO,,,2,,,2,,,,,,,,2,
,HISP,,1,3,11,1,16,,6,6,9,9,,,31,
,HIST,,6,13,23,,42,,,,,,,,42,
,PHUM,,,,1,,1,,,,,,,,1,
,POLS,2,6,5,15,,28,,,,3,3,,,31,
,PRFM,1,1,2,2,,6,,,,,,,,6,
,PSYC,,6,29,53,,88,,2,2,11,11,,,101,
,SOCI,1,5,15,28,,49,,7,7,10,10,,,66,
,Subtotal,6,48,111,225,1,391,,15,15,43,43,,,449,
Science,BIOL,4,8,20,33,,65,,,,2,2,,,67,
,CHEM,,1,1,4,,6,,3,3,11,11,,,20,
,CLSC,,,,,,,,,,,,,,,
,MATH,,,7,8,,15,,3,3,,,,,18,
,PHYS,1,3,3,3,,10,,3,3,8,8,,,21,
,STAT,,,,,,,2,4,6,,,,,6,
,Subtotal,5,12,31,48,,96,2,13,15,21,21,,,132,
Veterinary Medicine,CLVM,3,7,21,29,,60,,,,,,10,10,70,
,VIBS,,,,,,,,2,2,,,,,2,
,VLCS,,,,,,,,,,,,,,,
,VSCS,,,,,,,,,,1,1,,,1,
,VTPB,,,,,,,,1,1,1,1,,,2,
,VTPP,,,,,,,,,,,,,,,
,Subtotal,3,7,21,29,,60,,3,3,2,2,10,10,75,
General Studies,GEST,98,62,21,,,181,,,,,,,,181,
,Subtotal,98,62,21,,,181,,,,,,,,181,
Other - Special Populations,CLMD,,,,,,,,,,,,,,,
,ECEN,,,,,,,,,,,,,,,
,MARB,,,,,,,,,,,,,,,
,MARS,,,,,,,,,,,,,,,
,MASE,,,,,,,,,,,,,,,
,MEEN,,,,,,,,,,,,,,,
,PETE,,,,,,,,,,,,,,,
,SRPH,,,,,,,,,,,,,,,
,Subtotal,,,,,,,,,,,,,,,
University,Total,143,215,507,973,9,"1,847",11,218,229,204,204,10,10,"2,290",
"Prepared by OISP, 11 Aug 11",,,,,,,,,,,,,,,,
