Ethnicity Asian Only (NEW),,,,,,,,,,,,,,,,
Headcount by Department by Classification by Ethnicity College Station Campus,,,,,,,,,,,,,,,,
Summer 2011,,,,,,,,,,,,,,,,
Summer 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Agriculture,AGEC,,,1,3,,4,,1,1,,,,,5,
,ALEC,,,1,1,,2,,,,1,1,,,3,
,ANSC,1,1,1,1,,4,,,,,,,,4,
,BAEN,,,,5,,5,,1,1,1,1,,,7,
,BCBP,,2,5,3,,10,,1,1,,,,,11,
,CLAG,,,,,,,,,,,,,,,
,ENTO,,,,,,,,,,,,,,,
,ESSM,,,,1,,1,,,,,,,,1,
,HRSC,,,,,,,,1,1,,,,,1,
,NFSC,,,2,11,,13,,1,1,1,1,,,15,
,PLPM,,1,3,6,,10,,,,,,,,10,
,POSC,,,,,,,,1,1,,,,,1,
,RPTS,,,1,,,1,,,,,,,,1,
,SCSC,,,,1,,1,,,,2,2,,,3,
,WFSC,,,,2,,2,,,,,,,,2,
,Subtotal,1,4,14,34,,53,,6,6,5,5,,,64,
Architecture,ARCH,,1,1,,,2,,1,1,,,,,3,
,CLAR,,,,1,,1,,,,,,,,1,
,COSC,,,,1,,1,,,,,,,,1,
,LAUP,,,,,,,,,,1,1,,,1,
,VIZA,,,,,,,,1,1,,,,,1,
,Subtotal,,1,1,2,,4,,2,2,1,1,,,7,
Business Admin,ACCT,,,7,14,,21,,6,6,2,2,,,29,
,CLBA,2,2,5,2,,11,,4,4,,,,,15,
,FINC,,,4,7,,11,,6,6,1,1,,,18,
,INFO,,,1,1,,2,,5,5,,,,,7,
,MGMT,,,,3,,3,,,,3,3,,,6,
,MKTG,,,,3,,3,,2,2,,,,,5,
,Subtotal,2,2,17,30,,51,,23,23,6,6,,,80,
Education,CLED,,,,,,,,,,,,,,,
,EAHR,,1,3,9,,13,,2,2,6,6,,,21,
,EPSY,,,,,,,,2,2,6,6,,,8,
,HLKN,1,1,4,9,1,16,,3,3,3,3,,,22,
,TLAC,,,1,4,,5,,1,1,1,1,,,7,
,Subtotal,1,2,8,22,1,34,,8,8,16,16,,,58,
Engineering,AERO,,3,3,3,,9,,1,1,1,1,,,11,
,BMEN,,2,4,5,,11,,3,3,3,3,,,17,
,CHEN,,2,8,14,,24,,1,1,,,,,25,
,CLEN,,,,,,,,,,2,2,,,2,
,CSCE,1,2,3,2,,8,1,3,4,1,1,,,13,
,CVEN,,1,3,5,,9,,2,2,2,2,,,13,
,ECEN,2,4,6,19,,31,,2,2,5,5,,,38,
,ETID,,2,,10,,12,,,,,,,,12,
,ISEN,,1,3,13,,17,,3,3,1,1,,,21,
,MEEN,1,1,3,11,,16,,6,6,3,3,,,25,
,NUEN,,,2,3,,5,,2,2,1,1,,,8,
,PETE,2,,4,3,,9,,5,5,1,1,,,15,
,Subtotal,6,18,39,88,,151,1,28,29,20,20,,,200,
G. Bush School of Govt,BUSH,,,,,,,,2,2,,,,,2,
,Subtotal,,,,,,,,2,2,,,,,2,
Geosciences,ATMO,1,,,,,1,,,,,,,,1,
,CLGE,,,,,,,,,,,,,,,
,GEOG,,,,,,,,,,,,,,,
,GEPL,,,,,,,1,2,3,,,,,3,
,OCNG,,,,,,,,,,1,1,,,1,
,Subtotal,1,,,,,1,1,2,3,1,1,,,5,
"Prepared by OISP, 11 Aug 11",,,,,,,,,,,,,,,,
