Headcount by Major by Level College Station Campus,,,,,,,
Summer 2011,,,,,,,
Summer 2011,,Undergraduate,Masters,PhD,Professional,Total,
Agriculture,ADEV,,11,,,11,
,AGBL,31,,,,31,
,AGBU,80,21,,,101,
,AGCJ,113,,,,113,
,AGEC,221,29,37,,287,
,AGLS,25,,,,25,
,AGRO,54,11,8,,73,
,AGSC,65,,,,65,
,AGSM,47,2,,,49,
,ALEC,,48,40,,88,
,ALED,234,,,,234,
,ANBR,,3,3,,6,
,ANSC,228,39,14,,281,
,BAEN,53,24,22,,99,
,BESC,112,,,,112,
,BICH,57,24,69,,150,
,BIOT,,9,,,9,
,CDEV,14,,,,14,
,DASC,,2,,,2,
,ECOR,7,,,,7,
,ENST,7,,,,7,
,ENTO,25,13,29,,67,
,FISC,,1,,,1,
,FIVL,7,,,,7,
,FIVS,13,,,,13,
,FLOR,1,,,,1,
,FORS,8,4,6,,18,
,FSTC,45,16,15,,76,
,GENE,18,15,17,,50,
,HORT,57,13,12,,82,
,MEPS,,2,13,,15,
,NRDV,,14,,,14,
,NUSC,145,,,,145,
,NUTR,,21,17,,38,
,PLBR,,18,24,,42,
,PLPA,,9,17,,26,
,POSC,48,14,7,,69,
,PPRO,,1,,,1,
"Prepared by OISP, 11 Aug 11",,,,,,,
