Headcount by Major by Level College Station Campus Summer 2011,,,,,,,
Summer 2011,,Undergraduate,Masters,PhD,Professional,Total,
Liberal Arts,AMST,2,,,,2,
,ANTH,44,5,13,,62,
,CLSS,4,,,,4,
,COMM,214,9,24,,247,
,ECON,214,6,15,,235,
,ENGL,188,5,29,,222,
,FREN,2,,,,2,
,GERM,2,,,,2,
,HISP,,6,19,,25,
,HIST,222,3,9,,234,
,INTS,235,,,,235,
,MODL,,2,,,2,
,MUSC,6,,,,6,
,NRSC,,3,1,,4,
,NUTR,,1,,,1,
,PHIL,20,,1,,21,
,POLS,214,10,33,,257,
,PSYC,422,26,54,,502,
,RUSS,8,,,,8,
,SOCI,198,13,28,,239,
,SPAN,35,,,,35,
,TCMS,42,,,,42,
,THAR,12,,,,12,
,USLA,5,,,,5,
,WGST,2,,,,2,
,Subtotal,"2,091",89,226,,"2,406",
"Prepared by OISP, 11 Aug 11",,,,,,,
