Headcount by Major by Ethnic Origin College Station Campus,,,,,,,,,,,,
Summer 2011,,,,,,,,,,,,
Summer 2011,,White Only (NEW),Black Only + 2 or more/1 Black (NEW),Hispanic or Latino of any Race (NEW),Asian Only (NEW),Native Hawaii Only (New),American Indian Only (NEW),International,2 or More/Excluding Black (NEW),Unknown or Not Reported,Total,
Agriculture,ADEV,9,,1,,,,1,,,11,
,AGBL,27,1,1,,,,,1,1,31,
,AGBU,74,1,10,3,,,12,1,,101,
,AGCJ,90,5,11,1,,2,2,2,,113,
,AGEC,217,4,21,2,,1,38,4,,287,
,AGLS,17,5,2,,,,,1,,25,
,AGRO,57,1,8,1,,1,4,1,,73,
,AGSC,58,1,5,,,1,,,,65,
,AGSM,38,1,9,,,,1,,,49,
,ALEC,76,4,3,1,,,3,,1,88,
,ALED,175,37,19,1,,1,,,1,234,
,ANBR,5,,,,,,1,,,6,
,ANSC,234,5,26,4,,3,3,5,1,281,
,BAEN,53,4,6,6,,1,25,4,,99,
,BESC,59,6,23,10,,1,1,3,9,112,
,BICH,65,8,9,11,,1,40,2,14,150,
,BIOT,2,,,1,,,6,,,9,
,CDEV,11,1,2,,,,,,,14,
,DASC,2,,,,,,,,,2,
,ECOR,4,,3,,,,,,,7,
,ENST,5,,2,,,,,,,7,
,ENTO,38,1,10,,,,11,2,5,67,
,FISC,1,,,,,,,,,1,
,FIVL,7,,,,,,,,,7,
,FIVS,8,1,3,,,,,1,,13,
,FLOR,,,,,,,,1,,1,
,FORS,13,,,,,,5,,,18,
,FSTC,44,5,11,1,,,14,1,,76,
,GENE,36,,4,1,,,8,,1,50,
,HORT,54,,10,1,,2,15,,,82,
,MEPS,5,1,1,1,,,7,,,15,
,NRDV,12,1,1,,,,,,,14,
,NUSC,102,3,21,13,,1,3,2,,145,
,NUTR,21,1,1,1,,,14,,,38,
,PLBR,23,1,1,,,,17,,,42,
,PLPA,7,1,8,,,,9,,1,26,
,POSC,45,4,13,,,,6,1,,69,
,PPRO,1,,,,,,,,,1,
,PREP,10,,3,,1,,4,,,18,
,RENR,14,,3,,,1,,,,18,
,RLEM,27,1,11,,,,5,,,44,
,RPTS,152,8,17,1,1,1,13,1,,194,
,SOSC,13,2,1,1,,,4,,,21,
,SPSA,7,,,1,,,,1,,9,
,TOXI,1,,1,,,,,,,2,
,USAL,62,12,13,,,,,2,,89,
,WFSC,82,3,35,2,,1,10,1,1,135,
,WISC,4,,,,,,,,,4,
,WMHS,4,1,,,,,2,,,7,
,,"2,071",130,329,64,2,18,284,37,35,"2,970",
"Prepared by OISP, 11 Aug 11",,,,,,,,,,,,
