College Engineering,,,,,,,,,,,,
Texas A&M University Student Enrollment Summary Student Head Count by Level by College College Station Compus,,,,,,,,,,,,
Summer 2011,,,,,,,,,,,,
Summer 2011,,Student Level,,,,,,,,,,
,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,%,#,%,#,%,#,%,#,%,
Gender,Total,"2,365",100.0%,816,100.0%,900,100.0%,,,"4,081",100.0%,
,Female,487,20.6%,204,25.0%,171,19.0%,,,862,21.1%,
,Male,"1,878",79.4%,612,75.0%,729,81.0%,,,"3,219",78.9%,
Ethnicity,White Only (NEW),"1,486",62.8%,228,27.9%,166,18.4%,,,"1,880",46.1%,
,Black Only + 2 or more/1 Black (NEW),82,3.5%,13,1.6%,14,1.6%,,,109,2.7%,
,Hispanic or Latino of any Race (NEW),399,16.9%,50,6.1%,25,2.8%,,,474,11.6%,
,Asian Only (NEW),151,6.4%,29,3.6%,20,2.2%,,,200,4.9%,
,Native Hawaii Only (New),3,.1%,,,1,.1%,,,4,.1%,
,American Indian Only (NEW),6,.3%,,,1,.1%,,,7,.2%,
,International,132,5.6%,480,58.8%,670,74.4%,,,"1,282",31.4%,
,2 or More/Excluding Black (NEW),35,1.5%,10,1.2%,2,.2%,,,47,1.2%,
,Unknown or Not Reported,71,3.0%,6,.7%,1,.1%,,,78,1.9%,
,Total,"2,365",100.0%,816,100.0%,900,100.0%,,,"4,081",100.0%,
TAMU Age Categories,<18,,,,,,,,,,,
,18-21,"1,241",52.5%,3,.4%,,,,,"1,244",30.5%,
,22-25,"1,022",43.2%,486,59.6%,103,11.4%,,,"1,611",39.5%,
,26-30,70,3.0%,259,31.7%,501,55.7%,,,830,20.3%,
,31-39,29,1.2%,59,7.2%,277,30.8%,,,365,8.9%,
,40+,3,.1%,9,1.1%,19,2.1%,,,31,.8%,
Enrollment Status,1st Time in College,33,1.4%,,,,,,,33,.8%,
,1st Time PB,,,1,.1%,,,,,1,.0%,
,1st Time Graduate,,,31,3.8%,52,5.8%,,,83,2.0%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,17,.7%,,,,,,,17,.4%,
,Readmitted,10,.4%,,,2,.2%,,,12,.3%,
,Continuing,"2,305",97.5%,784,96.1%,846,94.0%,,,"3,935",96.4%,
Tuition Status,Resident Tuition,"2,037",86.1%,254,31.1%,129,14.3%,,,"2,420",59.3%,
,Non-Resident Tuition,128,5.4%,244,29.9%,126,14.0%,,,498,12.2%,
,Tuition Exemption/Waiver,200,8.5%,318,39.0%,645,71.7%,,,"1,163",28.5%,
Residency Status,Texas Resident,"2,094",88.5%,260,31.9%,143,15.9%,,,"2,497",61.2%,
,"Non-TX, US Resident",137,5.8%,76,9.3%,84,9.3%,,,297,7.3%,
,"Non-TX, Non-US Resident",134,5.7%,480,58.8%,673,74.8%,,,"1,287",31.5%,
SCH Categories,< 6 SCH,890,37.6%,401,49.1%,164,18.2%,,,"1,455",35.7%,
,6-8 SCH,"1,019",43.1%,401,49.1%,716,79.6%,,,"2,136",52.3%,
,9-11 SCH,343,14.5%,13,1.6%,17,1.9%,,,373,9.1%,
,12-14 SCH,112,4.7%,1,.1%,3,.3%,,,116,2.8%,
,15-17 SCH,1,.0%,,,,,,,1,.0%,
,>17 SCH,,,,,,,,,,,
Ft/Pt:  TAMU Status,Less Than Half Time,670,28.3%,202,24.8%,92,10.2%,,,964,23.6%,
,Half-Time,"1,115",47.1%,161,19.7%,42,4.7%,,,"1,318",32.3%,
,Full-Time,580,24.5%,453,55.5%,766,85.1%,,,"1,799",44.1%,
Top 10% Texas High School,No,"1,428",60.4%,790,96.8%,859,95.4%,,,"3,077",75.4%,
,Yes,937,39.6%,26,3.2%,41,4.6%,,,"1,004",24.6%,
First Generation,No,"1,634",69.1%,598,73.3%,545,60.6%,,,"2,777",68.0%,
,Unknown,247,10.4%,22,2.7%,70,7.8%,,,339,8.3%,
,Yes,484,20.5%,196,24.0%,285,31.7%,,,965,23.6%,
"Prepared by OISP, 8/12/2011",,,,,,,,,,,,
