Headcount by Major by Ethnic Origin by Gender College Station Campus,,,,,,,,,,,,,,,,,,,,,,,
Summer 2011,,,,,,,,,,,,,,,,,,,,,,,
Summer 2011,,White Only (NEW),,Black Only + 2 or more/1 Black (NEW),,Hispanic or Latino of any Race (NEW),,Asian Only (NEW),,Native Hawaii Only (New),,American Indian Only (NEW),,International,,2 or More/Excluding Black (NEW),,Unknown or Not Reported,,Total,,Total,
,,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
Engineering,AERL,6,23,,1,,8,,4,,,,,,2,,,4,3,10,41,51,
,AERO,20,121,1,2,7,19,,7,,,,,5,37,1,2,,1,34,189,223,
,BIOT,,1,,,,,,,,,,,,1,,,,,,2,2,
,BMEL,7,14,2,2,5,1,1,3,,,,,,,,,5,4,20,24,44,
,BMEN,33,44,1,1,10,10,3,9,,,,,10,21,2,2,,,59,87,146,
,CECL,2,9,,1,1,4,,1,,,,,,,,,,,3,15,18,
,CECN,3,28,,3,2,7,1,4,,,1,,7,37,,1,,,14,80,94,
,CEEL,,5,,1,,3,2,,,,,,,1,,,,,2,10,12,
,CEEN,1,11,,1,,5,,1,,,,,7,36,,1,,,8,55,63,
,CHEL,9,10,,,2,2,,2,,,,1,,3,,1,6,6,17,25,42,
,CHEN,39,92,2,5,13,18,6,17,,,,,27,62,3,4,,1,90,199,289,
,CPSC,3,68,2,3,4,8,1,3,,1,,,28,85,,1,,,38,169,207,
,CPSL,3,21,,2,2,5,1,2,,,,,,2,1,,3,5,10,37,47,
,CVEL,2,15,,1,2,5,,,,,,,,1,1,1,4,6,9,29,38,
,CVEN,56,166,1,11,18,32,3,10,,1,,,31,99,1,4,1,,111,323,434,
,ELEL,6,40,,,3,15,1,7,,,,,,4,1,,3,5,14,71,85,
,ELEN,10,81,,9,4,27,2,25,,,,,36,173,1,4,,1,53,320,373,
,ENGR,,2,,,,2,,1,,,,,,1,,,,,,6,6,
,ENSM,1,4,1,,,1,,1,,,,,,3,,,,,2,9,11,
,ENTC,1,51,1,,3,11,,5,,,,,,3,,,,,5,70,75,
,ENTL,1,26,3,,2,7,,2,,,,,,,,1,,,6,36,42,
,HLPH,2,4,,,,,,1,,,,,,,,,,,2,5,7,
,IDIL,5,23,1,,,7,2,,,,,1,,,,1,,,8,32,40,
,IDIS,17,85,5,2,3,12,1,2,,,,,,2,,1,,,26,104,130,
,INEL,3,24,2,2,3,10,1,2,,,,,,9,1,,,1,10,48,58,
,INEN,25,132,1,14,20,43,1,16,,1,1,,29,79,,1,,,77,286,363,
,ITDE,,1,,,,,1,,,,,,,,,,,,1,1,2,
,MEEL,4,19,,2,2,4,,3,,,,,,2,,2,1,6,7,38,45,
,MEEN,38,195,3,8,8,44,4,18,,,,2,42,115,,2,,,95,384,479,
,MSEN,3,9,1,,1,1,,1,,,,,15,32,,1,,,20,44,64,
,NUEL,,9,,,1,3,,1,,,,,,1,,,,,1,14,15,
,NUEN,15,70,,3,3,12,1,3,,,,,3,32,,2,1,,23,122,145,
,OCEL,3,7,,,,,,,,,,,,,,1,,,3,8,11,
,OCEN,3,39,,1,,8,,,,,,,4,15,,,,,7,63,70,
,PETE,7,38,1,4,1,10,3,5,,,,,38,131,,,,6,50,194,244,
,PETL,7,39,,2,1,6,,7,,,,,1,3,,,,,9,57,66,
,RHEL,2,,,,1,,,,,,,,,,,1,,,3,1,4,
,RHEN,8,8,,,,2,1,1,1,,,1,,,,1,,,10,13,23,
,SENG,,,,,,,,,,,,,2,5,,,,,2,5,7,
,USEN,,1,,,,,,,,,,,,,,,3,2,3,3,6,
,Subtotal,345,"1,535",28,81,122,352,36,164,1,3,2,5,285,997,12,35,31,47,862,"3,219","4,081",
G. Bush School of Govt,CAIA,5,22,1,1,1,1,,,,,,,,,,,,1,7,25,32,
,CHLS,2,13,,,2,2,,,,,,1,,,,1,,,4,17,21,
,CNPM,8,4,2,1,2,1,,,,,,,,,,,,,12,6,18,
,CNSA,1,5,,,,,,,,,,,,,,,,1,1,6,7,
,INTA,5,4,,,,,1,1,,,,,,,,,,,6,5,11,
,PSAA,2,4,,1,1,5,,,,,,,,,,,,,3,10,13,
,Subtotal,23,52,3,3,6,9,1,1,,,,1,,,,1,,2,33,69,102,
Geosciences,ATMO,7,20,,,,1,,,,,,,6,15,,,,,13,36,49,
,ENGS,20,18,,1,2,3,,,,,1,,,,,,,,23,22,45,
,ENST,14,17,,1,1,8,,,,,,,,,1,,,,16,26,42,
,GEOG,21,23,1,,4,3,,,,,,,2,2,,1,,1,28,30,58,
,GEOL,23,37,3,4,6,9,,2,,,,,8,10,,2,6,3,46,67,113,
,GEOP,2,6,1,,1,3,,1,,,,,5,11,,,,,9,21,30,
,GEOS,,,,,,,,,,,,,1,,,,,,1,,1,
,MARB,1,,,,,,,,,,,,,,,,,,1,,1,
,METR,6,11,,,2,2,,1,,,,,,,,1,,,8,15,23,
,OCNG,21,12,1,,1,1,,1,,,,,15,10,,,,1,38,25,63,
,USGE,,1,,,,,,,,,,,,,,,,,,1,1,
,WMHS,,3,,,,,,,,,,,1,2,,,,,1,5,6,
,Subtotal,115,148,6,6,17,30,,5,,,1,,38,50,1,4,6,5,184,248,432,
"Prepared by OISP, 11 Aug 11",,,,,,,,,,,,,,,,,,,,,,,
