Headcount by Major by Ethnic Origin by Gender College Station Campus,,,,,,,,,,,,,,,,,,,,,,,
Summer 2011,,,,,,,,,,,,,,,,,,,,,,,
Summer 2011,,White Only (NEW),,Black Only + 2 or more/1 Black (NEW),,Hispanic or Latino of any Race (NEW),,Asian Only (NEW),,Native Hawaii Only (New),,American Indian Only (NEW),,International,,2 or More/Excluding Black (NEW),,Unknown or Not Reported,,Total,,Total,
,,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
Liberal Arts,AMST,1,1,,,,,,,,,,,,,,,,,1,1,2,
,ANTH,24,19,3,,10,2,1,,,,,,,3,,,,,38,24,62,
,CLSS,1,2,,,,1,,,,,,,,,,,,,1,3,4,
,COMM,133,51,9,2,21,11,4,2,,,2,,4,1,6,1,,,179,68,247,
,ECON,32,122,1,3,4,27,7,10,2,,,,5,16,,5,,1,51,184,235,
,ENGL,126,38,12,,20,11,5,,,,2,1,1,1,3,1,,1,169,53,222,
,FREN,1,,,,,,1,,,,,,,,,,,,2,,2,
,GERM,1,1,,,,,,,,,,,,,,,,,1,1,2,
,HISP,2,2,,,8,6,,,,,,,,7,,,,,10,15,25,
,HIST,48,127,1,5,20,22,1,1,,,,,1,1,4,2,,1,75,159,234,
,INTS,84,68,5,7,39,20,2,2,,,,1,3,1,2,1,,,135,100,235,
,MODL,1,,,,1,,,,,,,,,,,,,,2,,2,
,MUSC,2,,,1,,2,1,,,,,,,,,,,,3,3,6,
,NRSC,,1,,,,1,,1,,,,,,1,,,,,,4,4,
,NUTR,1,,,,,,,,,,,,,,,,,,1,,1,
,PHIL,4,10,2,1,,1,,2,,,,1,,,,,,,6,15,21,
,POLS,54,133,11,6,9,22,5,5,,,,,7,2,2,1,,,88,169,257,
,PSYC,238,84,26,7,76,24,19,15,,,1,1,4,3,1,1,2,,367,135,502,
,RUSS,1,6,,,1,,,,,,,,,,,,,,2,6,8,
,SOCI,82,47,21,9,41,25,6,,,,2,,2,,3,,,1,157,82,239,
,SPAN,17,2,,,14,2,,,,,,,,,,,,,31,4,35,
,TCMS,16,16,1,1,2,1,2,1,,,,,,1,,1,,,21,21,42,
,THAR,6,1,,,2,2,1,,,,,,,,,,,,9,3,12,
,USLA,2,1,1,,1,,,,,,,,,,,,,,4,1,5,
,WGST,2,,,,,,,,,,,,,,,,,,2,,2,
,Subtotal,879,732,93,42,269,180,55,39,2,,7,4,27,37,21,13,2,4,"1,355","1,051","2,406",
Science,APHY,,3,,,1,1,,,,,,,,1,1,,,,2,5,7,
,APMS,15,17,,2,1,4,1,3,,,,,,3,,,,,17,29,46,
,BIOL,94,62,11,9,33,19,19,18,,,1,1,9,5,4,1,,,171,115,286,
,BMCB,8,4,,,1,6,1,,,,,,,2,,,,,10,12,22,
,BOTN,,,,,,1,,,,,,,,,,,,,,1,1,
,CHEM,48,81,3,6,12,8,5,8,,,,1,49,85,1,,12,6,130,195,325,
,GENE,,1,,,,,,,,,,,,1,,,,,,2,2,
,MATH,34,35,3,,9,4,2,2,,,,,19,41,2,1,,1,69,84,153,
,MBIO,13,9,,1,1,4,1,1,,,,,3,1,1,,,,19,16,35,
,MEPS,,,,,,,1,,,,,,1,,,,,,2,,2,
,MSEN,,,,,,,,,,,,,,1,,,,,,1,1,
,PHYS,13,63,1,2,4,15,,3,,1,,,5,65,1,1,5,6,29,156,185,
,STAT,18,34,,1,3,3,7,8,,,,,19,21,,2,2,1,49,70,119,
,USSC,5,7,,1,,,,,,,,,,,,,,,5,8,13,
,ZOOL,8,9,,,2,,,,,,,,,,,1,,,10,10,20,
,Subtotal,256,325,18,22,67,65,37,43,,1,1,2,105,226,10,6,19,14,513,704,"1,217",
Veterinary Medicine,BIMS,169,71,8,3,44,18,18,21,,,1,2,11,12,3,1,,1,254,129,383,
,BIOT,,,,,1,,1,,,,,,1,1,,,,,3,1,4,
,GENE,3,3,,,,,1,,,,,,,,,,,,4,3,7,
,LAMD,2,,,,1,,,,,,,,,,,,,,3,,3,
,STJR,1,,,,,,,,,,,,5,1,,,,,6,1,7,
,TOXI,7,2,,,,,,,,,,,2,3,,,,,9,5,14,
,USVM,,,,,,,,1,,,,,,,,,,,,1,1,
,VPAT,8,1,,,,1,,,,,,,1,2,,,,,9,4,13,
,VPHY,1,,,,,,,,,,,,,,,,,,1,,1,
,VTMD,97,31,,1,6,4,5,1,,,,,,,,,1,,109,37,146,
,VTMI,3,1,1,,,,,,,,,,2,2,,,,,6,3,9,
,VTPH,,,,,,,1,,,,,,,,,,,,1,,1,
,Subtotal,291,109,9,4,52,23,26,23,,,1,2,22,21,3,1,1,1,405,184,589,
General Studies,GEST,256,253,29,49,81,75,16,22,1,1,1,1,4,10,5,2,1,,394,413,807,
,TEAM,43,43,,2,11,14,2,5,,,,,,,1,,,,57,64,121,
,Subtotal,299,296,29,51,92,89,18,27,1,1,1,1,4,10,6,2,1,,451,477,928,
"Prepared by OISP, 11 Aug 11",,,,,,,,,,,,,,,,,,,,,,,
