Ethnicity White Only (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity College Station Campus,,,,,,,,,,,,,,,,
Summer 2011,,,,,,,,,,,,,,,,
Summer 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Agriculture,ADEV,,,,,,,,9,9,,,,,9,
,AGBL,2,8,15,2,,27,,,,,,,,27,
,AGBU,,,29,38,,67,,7,7,,,,,74,
,AGCJ,,14,32,43,1,90,,,,,,,,90,
,AGEC,1,19,72,99,,191,,19,19,7,7,,,217,
,AGLS,,1,12,4,,17,,,,,,,,17,
,AGRO,,4,16,23,,43,,9,9,5,5,,,57,
,AGSC,1,6,17,33,1,58,,,,,,,,58,
,AGSM,,2,6,28,,36,,2,2,,,,,38,
,ALEC,,,,,,,,45,45,31,31,,,76,
,ALED,1,8,64,102,,175,,,,,,,,175,
,ANBR,,,,,,,,3,3,2,2,,,5,
,ANSC,5,12,63,103,5,188,1,34,35,11,11,,,234,
,BAEN,1,9,11,17,1,39,,13,13,1,1,,,53,
,BESC,,5,18,36,,59,,,,,,,,59,
,BICH,1,,6,8,7,22,,10,10,33,33,,,65,
,BIOT,,,,,,,,2,2,,,,,2,
,CDEV,,,4,7,,11,,,,,,,,11,
,DASC,,,,,,,,2,2,,,,,2,
,ECOR,,,2,2,,4,,,,,,,,4,
,ENST,,,3,2,,5,,,,,,,,5,
,ENTO,,1,5,7,1,14,,9,9,15,15,,,38,
,FISC,,,,,,,1,,1,,,,,1,
,FIVL,,1,5,1,,7,,,,,,,,7,
,FIVS,,,1,7,,8,,,,,,,,8,
,FLOR,,,,,,,,,,,,,,,
,FORS,,,3,5,,8,,2,2,3,3,,,13,
,FSTC,1,2,3,24,1,31,,9,9,4,4,,,44,
,GENE,1,1,1,12,1,16,,10,10,10,10,,,36,
,HORT,,3,18,25,,46,,6,6,2,2,,,54,
,MEPS,,,,,,,,2,2,3,3,,,5,
,NRDV,,,,,,,1,11,12,,,,,12,
,NUSC,1,3,23,72,3,102,,,,,,,,102,
,NUTR,,,,,,,,13,13,8,8,,,21,
,PLBR,,,,,,,,14,14,9,9,,,23,
"Prepared by OISP, 11 Aug 11",,,,,,,,,,,,,,,,
